"n_subjects","best_1d_cluster","minimum_1d_diameter","best_1d_joint_p","best_3d_cluster","minimum_3d_diameter","best_3d_joint_p"
2,"cluster_0012",0,1,"cluster_0012",0,1
3,"cluster_0009",0,0.829059829059829,"cluster_0009",0,0.829059829059829
4,"cluster_0003",1,0.433048433048433,"cluster_0003",3.8634365531221,0.41025641025641
5,"cluster_0008",5,0.792022792022792,"cluster_0008",10.7390200670266,0.991452991452991
6,"cluster_0055",26,1,"cluster_0047",19.1222392517194,1
7,"cluster_0045",64,1,"cluster_0045",19.1222392517194,1
8,"cluster_0001",14,0.13960113960114,"cluster_0001",24.8149722748183,1
9,"cluster_0006",26,0.601139601139601,"cluster_0006",24.8149722748183,0.994301994301994
10,"cluster_0068",135,1,"cluster_0068",63.6674991263203,1
12,"cluster_0067",146,1,"cluster_0061",37.2047040574173,1
15,"cluster_0002",90,0.749287749287749,"cluster_0002",30.4670553056904,0.284900284900285
16,"cluster_0069",227,1,"cluster_0069",63.6674991263203,1
20,"cluster_0007",482,0.994301994301994,"cluster_0007",54.9034382347772,0.717948717948718
27,"cluster_0004",250,0.41025641025641,"cluster_0004",92.4652733787123,0.766381766381766
28,"cluster_0005",482,0.866096866096866,"cluster_0005",80.4556137817617,0.433048433048433
42,"cluster_0011",586,0.988603988603989,"cluster_0011",123.021131595348,0.894586894586895
