"protein","cluster_id","candidate_key","tree_sources","hotspot_class","significant_1d","significant_3d","significant_any","best_1d_for_size","best_3d_for_size","n_subjects","n_events","n_residues","residues","residue_min","residue_max","diameter_1d","diameter_3d","p_1d_size","p_3d_size","p_1d_protein","p_3d_protein","p_1d_joint","p_3d_joint","p_any_joint"
"TP53","cluster_0001","239;244;245;248","1D","Sequence-local hotspot also compact in structure",TRUE,TRUE,TRUE,TRUE,FALSE,7,8,4,"239;244;245;248",239,248,9,11.0329225049395,0.00199600798403194,0.00199600798403194,0.0139720558882236,0.0259481037924152,0.0359281437125748,0.0359281437125748,0.0359281437125748
"TP53","cluster_0002","239;244;245;248;273;277;282","1D","Sequence-local hotspot also compact in structure",TRUE,TRUE,TRUE,TRUE,TRUE,13,14,7,"239;244;245;248;273;277;282",239,282,43,24.3327664888315,0.00199600798403194,0.00199600798403194,0.0139720558882236,0.0259481037924152,0.0359281437125748,0.0359281437125748,0.0359281437125748
"TP53","cluster_0003","135;136;159;171;175;197;205;239;244;245;248;273;277;282","3D","Nonlocal, 3D-specific hotspot",FALSE,TRUE,TRUE,TRUE,TRUE,18,23,14,"135;136;159;171;175;197;205;239;244;245;248;273;277;282",135,282,147,29.673820785332,0.0119760479041916,0.00199600798403194,0.0818363273453094,0.0259481037924152,0.147704590818363,0.0359281437125748,0.0359281437125748
"TP53","cluster_0004","239;248;273","3D","Nonlocal, 3D-specific hotspot",FALSE,TRUE,TRUE,FALSE,TRUE,7,7,3,"239;248;273",239,273,34,9.10653507103553,0.303393213572854,0.00199600798403194,0.954091816367265,0.0259481037924152,0.992015968063872,0.0359281437125748,0.0359281437125748
"TP53","cluster_0005","135;136;239;248;273;277;282","3D","Nonlocal, 3D-specific hotspot",FALSE,TRUE,TRUE,TRUE,TRUE,12,13,7,"135;136;239;248;273;277;282",135,282,147,15.3793277811483,0.311377245508982,0.00199600798403194,0.954091816367265,0.0259481037924152,0.992015968063872,0.0359281437125748,0.0359281437125748
"TP53","cluster_0006","244;245;248","1D","Linear hotspot without independent 3D enrichment",TRUE,FALSE,TRUE,TRUE,TRUE,6,7,3,"244;245;248",244,248,4,10.1224179917646,0.00199600798403194,0.00798403193612774,0.0139720558882236,0.06187624750499,0.0359281437125748,0.0998003992015968,0.0359281437125748
"TP53","cluster_0007","248","1D;3D","Weak clustering evidence",FALSE,FALSE,FALSE,TRUE,TRUE,4,4,1,"248",248,248,0,0,0.00598802395209581,0.00598802395209581,0.0439121756487026,0.0518962075848303,0.0818363273453094,0.0818363273453094,0.0818363273453094
"TP53","cluster_0008","171;175;244;245","3D","Weak clustering evidence",FALSE,FALSE,FALSE,FALSE,FALSE,7,7,4,"171;175;244;245",171,245,74,12.5950240968408,0.60878243512974,0.00598802395209581,1,0.0518962075848303,1,0.0818363273453094,0.0818363273453094
"TP53","cluster_0009","273;277;282","1D","Weak clustering evidence",FALSE,FALSE,FALSE,FALSE,FALSE,6,6,3,"273;277;282",273,282,9,10.2477570716718,0.0219560878243513,0.00998003992015968,0.157684630738523,0.0798403193612774,0.265469061876248,0.119760479041916,0.119760479041916
"TP53","cluster_0010","175;244;245","3D","Weak clustering evidence",FALSE,FALSE,FALSE,FALSE,TRUE,5,5,3,"175;244;245",175,245,70,7.8782067756565,0.936127744510978,0.0159680638722555,1,0.12375249500998,1,0.197604790419162,0.197604790419162
