"n_subjects","best_1d_cluster","minimum_1d_diameter","best_1d_joint_p","best_3d_cluster","minimum_3d_diameter","best_3d_joint_p"
2,"cluster_0019",0,1,"cluster_0019",0,1
3,"cluster_0013",0,0.324335132973405,"cluster_0013",0,0.324335132973405
4,"cluster_0006",0,0.00999800039992002,"cluster_0006",0,0.00999800039992002
5,"cluster_0017",16,0.992001599680064,"cluster_0011",7.8782067756565,0.152369526094781
6,"cluster_0005",4,0.00599880023995201,"cluster_0005",10.1224179917646,0.0601879624075185
7,"cluster_0007",9,0.0191961607678464,"cluster_0002",9.10653507103553,0.001999600079984
8,"cluster_0015",86,0.997800439912018,"cluster_0015",23.2424791491786,0.863427314537093
12,"cluster_0003",147,0.960207958408318,"cluster_0003",15.3793277811483,0.001999600079984
13,"cluster_0004",43,0.00599880023995201,"cluster_0004",24.3327664888315,0.0191961607678464
18,"cluster_0001",147,0.0533893221355729,"cluster_0001",29.673820785332,0.001999600079984
19,"cluster_0008",177,0.172165566886623,"cluster_0008",36.7763664464014,0.0379924015196961
