"event_id","subject_id","cna_type","observed_exon_start","observed_exon_end","span_exons","observed_coding_residues","n_legal_windows","n_alternative_windows","probability_observed_window","total_alternative_probability","maximum_window_probability","effective_number_of_windows","normalized_entropy","permutation_testable","testability_reason"
"CNA_event_000001","PAVESF","HOMDEL",1,3,3,70,7,6,0.30463970997995,0.69536029002005,0.30463970997995,5.21137126755462,0.91962612390954,TRUE,""
"CNA_event_000002","PAUYJE","HOMDEL",2,5,4,138,6,5,0.272612981577376,0.727387018422624,0.272612981577376,5.32342894283389,0.966502085006079,TRUE,""
"CNA_event_000003","PAUHYI","HOMDEL",2,3,2,44,8,7,0.292661903323102,0.707338096676898,0.292661903323102,5.68682940897363,0.912305685470619,TRUE,""
"CNA_event_000005","PARMIH","HOMDEL",4,9,6,334,4,3,0.343709982354424,0.656290017645576,0.343709982354424,3.7531584237799,0.97656293283892,TRUE,""
"CNA_event_000006","PARJPL","HOMDEL",2,9,8,377,2,1,0.536422732377949,0.463577267622051,0.536422732377949,1.98944309633434,0.996168804430206,TRUE,""
"CNA_event_000007","PAWKZN","HOMDEL",2,9,8,377,2,1,0.536422732377949,0.463577267622051,0.536422732377949,1.98944309633434,0.996168804430206,TRUE,""
"CNA_event_000008","PAWGDG","HOMDEL",2,9,8,377,2,1,0.536422732377949,0.463577267622051,0.536422732377949,1.98944309633434,0.996168804430206,TRUE,""
"CNA_event_000009","PAWESJ","HOMDEL",1,1,1,27,9,8,0.238603156040944,0.761396843959056,0.238603156040944,6.78892652773641,0.934277397675214,TRUE,""
"CNA_event_000010","PAWAIM","HOMDEL",2,3,2,44,8,7,0.292661903323102,0.707338096676898,0.292661903323102,5.68682940897363,0.912305685470619,TRUE,""
"CNA_event_000011","PAVUCS","HOMDEL",2,3,2,44,8,7,0.292661903323102,0.707338096676898,0.292661903323102,5.68682940897363,0.912305685470619,TRUE,""
"CNA_event_000012","PAVPEN","HOMDEL",4,9,6,334,4,3,0.343709982354424,0.656290017645576,0.343709982354424,3.7531584237799,0.97656293283892,TRUE,""
"CNA_event_000014","PAVKPV","HOMDEL",2,5,4,138,6,5,0.272612981577376,0.727387018422624,0.272612981577376,5.32342894283389,0.966502085006079,TRUE,""
"CNA_event_000015","PAVKPV","HOMDEL",6,9,4,239,6,5,0.259601885232558,0.740398114767442,0.259601885232558,5.184780913723,0.953759808098934,TRUE,""
"CNA_event_000016","PAVFIF","HOMDEL",2,3,2,44,8,7,0.292661903323102,0.707338096676898,0.292661903323102,5.68682940897363,0.912305685470619,TRUE,""
"CNA_event_000017","PAVCHZ","HOMDEL",4,9,6,334,4,3,0.343709982354424,0.656290017645576,0.343709982354424,3.7531584237799,0.97656293283892,TRUE,""
"CNA_event_000018","PAVAWW","HOMDEL",2,9,8,377,2,1,0.536422732377949,0.463577267622051,0.536422732377949,1.98944309633434,0.996168804430206,TRUE,""
"CNA_event_000019","PAUYBP","HOMDEL",2,3,2,44,8,7,0.292661903323102,0.707338096676898,0.292661903323102,5.68682940897363,0.912305685470619,TRUE,""
"CNA_event_000021","PAUMXB","HOMDEL",4,9,6,334,4,3,0.343709982354424,0.656290017645576,0.343709982354424,3.7531584237799,0.97656293283892,TRUE,""
"CNA_event_000022","PAUADY","HOMDEL",2,3,2,44,8,7,0.292661903323102,0.707338096676898,0.292661903323102,5.68682940897363,0.912305685470619,TRUE,""
"CNA_event_000023","PATTAC","HOMDEL",2,9,8,377,2,1,0.536422732377949,0.463577267622051,0.536422732377949,1.98944309633434,0.996168804430206,TRUE,""
