"n_subjects","best_1d_cluster","minimum_1d_diameter","best_1d_joint_p","best_3d_cluster","minimum_3d_diameter","best_3d_joint_p"
2,"cluster_0021",0,1,"cluster_0021",0,1
3,"cluster_0016",0,0.392321535692861,"cluster_0016",0,0.392321535692861
4,"cluster_0005",0,0.00919816036792642,"cluster_0005",0,0.00919816036792642
5,"cluster_0036",34,1,"cluster_0014",7.8782067756565,0.0821835632873425
6,"cluster_0004",4,0.00599880023995201,"cluster_0004",10.1224179917646,0.0371925614877025
7,"cluster_0007",9,0.0131973605278944,"cluster_0002",9.10653507103553,0.00599880023995201
8,"cluster_0009",154,1,"cluster_0009",13.9722246260214,0.0131973605278944
9,"cluster_0017",154,1,"cluster_0017",24.7782421894694,0.499100179964007
11,"cluster_0020",133,0.996800639872026,"cluster_0020",68.4879897646295,0.999800039992002
12,"cluster_0003",147,0.989002199560088,"cluster_0003",15.3793277811483,0.00599880023995201
13,"cluster_0006",43,0.00919816036792642,"cluster_0006",24.3327664888315,0.00919816036792642
15,"cluster_0011",88,0.0131973605278944,"cluster_0011",64.744755053981,0.974805038992202
19,"cluster_0001",191,0.147370525894821,"cluster_0001",33.9021016752649,0.00599880023995201
20,"cluster_0012",191,0.0471905618876225,"cluster_0012",42.6209890664213,0.01999600079984
22,"cluster_0010",210,0.0131973605278944,"cluster_0010",73.4290371310968,0.220755848830234
23,"cluster_0008",255,0.00919816036792642,"cluster_0008",118.969142553857,1
