"protein","cluster_id","candidate_key","tree_sources","hotspot_class","significant_1d","significant_3d","significant_any","best_1d_for_size","best_3d_for_size","n_subjects","n_events","n_residues","residues","residue_min","residue_max","diameter_1d","diameter_3d","p_1d_size","p_3d_size","p_1d_protein","p_3d_protein","p_1d_joint","p_3d_joint","p_any_joint"
"TP53","cluster_0001","248","1D;3D","Weak clustering evidence",FALSE,FALSE,FALSE,TRUE,TRUE,4,4,1,"248",248,248,0,0,0.00398406374501992,0.00398406374501992,0.0318725099601594,0.0717131474103586,0.0876494023904383,0.0876494023904383,0.0876494023904383
"TP53","cluster_0002","239;244;245;248","1D","Weak clustering evidence",FALSE,FALSE,FALSE,TRUE,FALSE,7,8,4,"239;244;245;248",239,248,9,11.0329225049395,0.00398406374501992,0.00398406374501992,0.0318725099601594,0.0717131474103586,0.0876494023904383,0.0876494023904383,0.0876494023904383
"TP53","cluster_0003","239;244;245;248;273;277;282","1D","Weak clustering evidence",FALSE,FALSE,FALSE,TRUE,TRUE,13,14,7,"239;244;245;248;273;277;282",239,282,43,24.3327664888315,0.00398406374501992,0.00398406374501992,0.0318725099601594,0.0717131474103586,0.0876494023904383,0.0876494023904383,0.0876494023904383
"TP53","cluster_0004","91;135;136;159;171;175;197;205;239;244;245;248;273;277;282","3D","Weak clustering evidence",FALSE,FALSE,FALSE,TRUE,TRUE,19,24,15,"91;135;136;159;171;175;197;205;239;244;245;248;273;277;282",91,282,191,33.9021016752649,0.00398406374501992,0.00398406374501992,0.0318725099601594,0.0717131474103586,0.0876494023904383,0.0876494023904383,0.0876494023904383
"TP53","cluster_0005","91;105;135;136;149;159;171;175;197;205;239;244;245;248;273;277;282","3D","Weak clustering evidence",FALSE,FALSE,FALSE,TRUE,TRUE,20,26,17,"91;105;135;136;149;159;171;175;197;205;239;244;245;248;273;277;282",91,282,191,42.6209890664213,0.00398406374501992,0.00398406374501992,0.0318725099601594,0.0717131474103586,0.0876494023904383,0.0876494023904383,0.0876494023904383
"TP53","cluster_0006","239;248;273","3D","Weak clustering evidence",FALSE,FALSE,FALSE,FALSE,TRUE,7,7,3,"239;248;273",239,273,34,9.10653507103553,0.151394422310757,0.00398406374501992,0.784860557768924,0.0717131474103586,0.924302788844621,0.0876494023904383,0.0876494023904383
"TP53","cluster_0007","135;136;239;248;273;277;282","3D","Weak clustering evidence",FALSE,FALSE,FALSE,TRUE,TRUE,12,13,7,"135;136;239;248;273;277;282",135,282,147,15.3793277811483,0.211155378486056,0.00398406374501992,0.904382470119522,0.0717131474103586,0.98406374501992,0.0876494023904383,0.0876494023904383
"TP53","cluster_0008","91;171;175;244;245","3D","Weak clustering evidence",FALSE,FALSE,FALSE,TRUE,TRUE,8,8,5,"91;171;175;244;245",91,245,154,13.9722246260214,0.665338645418327,0.00398406374501992,1,0.0717131474103586,1,0.0876494023904383,0.0876494023904383
"TP53","cluster_0009","244;245;248","1D","Weak clustering evidence",FALSE,FALSE,FALSE,TRUE,TRUE,6,7,3,"244;245;248",244,248,4,10.1224179917646,0.00398406374501992,0.00796812749003984,0.0318725099601594,0.127490039840637,0.0876494023904383,0.183266932270916,0.0876494023904383
"TP53","cluster_0010","239;244;245;248;273;277;282;306;327","1D","Weak clustering evidence",FALSE,FALSE,FALSE,TRUE,TRUE,15,16,9,"239;244;245;248;273;277;282;306;327",239,327,88,64.744755053981,0.00398406374501992,0.219123505976096,0.0318725099601594,0.912350597609562,0.0876494023904383,0.99203187250996,0.0876494023904383
"TP53","cluster_0011","72;91;105;135;136;149;159;171;175;197;205;239;244;245;248;273;277;282;306;327","1D;3D","Weak clustering evidence",FALSE,FALSE,FALSE,TRUE,TRUE,23,30,20,"72;91;105;135;136;149;159;171;175;197;205;239;244;245;248;273;277;282;306;327",72,327,255,118.969142553857,0.00398406374501992,0.709163346613546,0.0318725099601594,1,0.0876494023904383,1,0.0876494023904383
"TP53","cluster_0012","273;277;282","1D","Weak clustering evidence",FALSE,FALSE,FALSE,FALSE,FALSE,6,6,3,"273;277;282",273,282,9,10.2477570716718,0.00796812749003984,0.00796812749003984,0.0876494023904383,0.127490039840637,0.183266932270916,0.183266932270916,0.183266932270916
"TP53","cluster_0013","72;91;105;135;136;149;159;171;175;197;205;239;244;245;248;273;277;282","3D","Weak clustering evidence",FALSE,FALSE,FALSE,TRUE,TRUE,22,28,18,"72;91;105;135;136;149;159;171;175;197;205;239;244;245;248;273;277;282",72,282,210,73.4290371310968,0.00796812749003984,0.00796812749003984,0.0876494023904383,0.127490039840637,0.183266932270916,0.183266932270916,0.183266932270916
"TP53","cluster_0014","175;244;245","3D","Weak clustering evidence",FALSE,FALSE,FALSE,FALSE,TRUE,5,5,3,"175;244;245",175,245,70,7.8782067756565,0.952191235059761,0.00796812749003984,1,0.127490039840637,1,0.183266932270916,0.183266932270916
"TP53","cluster_0015","135;136;277;282","3D","Weak clustering evidence",FALSE,FALSE,FALSE,FALSE,FALSE,6,6,4,"135;136;277;282",135,282,147,12.1192066572033,0.904382470119522,0.0119521912350598,1,0.155378486055777,1,0.223107569721116,0.223107569721116
"TP53","cluster_0016","282","1D;3D","Weak clustering evidence",FALSE,FALSE,FALSE,TRUE,TRUE,3,3,1,"282",282,282,0,0,0.0239043824701195,0.0239043824701195,0.227091633466135,0.250996015936255,0.354581673306773,0.354581673306773,0.354581673306773
"TP53","cluster_0017","91;159;171;175;197;205;244;245","3D","Weak clustering evidence",FALSE,FALSE,FALSE,TRUE,TRUE,9,11,8,"91;159;171;175;197;205;244;245",91,245,154,24.7782421894694,0.565737051792829,0.051792828685259,1,0.406374501992032,1,0.573705179282869,0.573705179282869
"TP53","cluster_0018","171;175","1D","Weak clustering evidence",FALSE,FALSE,FALSE,FALSE,FALSE,4,4,2,"171;175",171,175,4,12.5950240968408,0.0756972111553785,0.342629482071713,0.561752988047809,0.98804780876494,0.725099601593626,1,0.725099601593626
"TP53","cluster_0019","244;245","1D;3D","Weak clustering evidence",FALSE,FALSE,FALSE,FALSE,FALSE,3,3,2,"244;245",244,245,1,3.87020232029283,0.119521912350598,0.103585657370518,0.693227091633466,0.649402390438247,0.872509960159363,0.828685258964143,0.828685258964143
"TP53","cluster_0020","171","1D;3D","Weak clustering evidence",FALSE,FALSE,FALSE,TRUE,TRUE,2,2,1,"171",171,171,0,0,0.681274900398406,0.681274900398406,1,1,1,1,1
"TP53","cluster_0021","175","1D;3D","Weak clustering evidence",FALSE,FALSE,FALSE,TRUE,TRUE,2,2,1,"175",175,175,0,0,0.681274900398406,0.681274900398406,1,1,1,1,1
"TP53","cluster_0022","245","1D;3D","Weak clustering evidence",FALSE,FALSE,FALSE,TRUE,TRUE,2,2,1,"245",245,245,0,0,0.681274900398406,0.681274900398406,1,1,1,1,1
"TP53","cluster_0023","273","1D;3D","Weak clustering evidence",FALSE,FALSE,FALSE,TRUE,TRUE,2,2,1,"273",273,273,0,0,0.681274900398406,0.681274900398406,1,1,1,1,1
"TP53","cluster_0024","72","1D;3D","Weak clustering evidence",FALSE,FALSE,FALSE,TRUE,TRUE,2,2,1,"72",72,72,0,0,0.681274900398406,0.681274900398406,1,1,1,1,1
"TP53","cluster_0025","135;136","1D;3D","Weak clustering evidence",FALSE,FALSE,FALSE,FALSE,FALSE,2,2,2,"135;136",135,136,1,3.8053733062605,0.9800796812749,0.752988047808765,1,1,1,1,1
"TP53","cluster_0026","239;273","3D","Weak clustering evidence",FALSE,FALSE,FALSE,FALSE,FALSE,3,3,2,"239;273",239,273,34,7.77772203154626,1,0.49402390438247,1,0.99601593625498,1,1,1
"TP53","cluster_0027","135;136;277","3D","Weak clustering evidence",FALSE,FALSE,FALSE,FALSE,FALSE,3,3,3,"135;136;277",135,277,142,7.84430564167409,1,0.49402390438247,1,0.99601593625498,1,1,1
"TP53","cluster_0028","159;197","3D","Weak clustering evidence",FALSE,FALSE,FALSE,FALSE,FALSE,2,2,2,"159;197",159,197,38,9.24901751539049,1,1,1,1,1,1,1
"TP53","cluster_0029","197;205","1D","Weak clustering evidence",FALSE,FALSE,FALSE,FALSE,FALSE,2,2,2,"197;205",197,205,8,9.45055987759455,1,1,1,1,1,1,1
"TP53","cluster_0030","159;197;205","3D","Weak clustering evidence",FALSE,FALSE,FALSE,FALSE,FALSE,2,3,3,"159;197;205",159,205,46,9.86024436816857,1,1,1,1,1,1,1
"TP53","cluster_0031","91;171","3D","Weak clustering evidence",FALSE,FALSE,FALSE,FALSE,FALSE,3,3,2,"91;171",91,171,80,10.1833527386613,1,0.812749003984064,1,1,1,1,1
"TP53","cluster_0032","273;277","1D","Weak clustering evidence",FALSE,FALSE,FALSE,FALSE,FALSE,3,3,2,"273;277",273,277,4,10.2477570716718,0.625498007968127,0.812749003984064,1,1,1,1,1
"TP53","cluster_0033","105;149","3D","Weak clustering evidence",FALSE,FALSE,FALSE,FALSE,FALSE,2,2,2,"105;149",105,149,44,10.7890887474337,1,1,1,1,1,1,1
"TP53","cluster_0034","149;159","1D","Weak clustering evidence",FALSE,FALSE,FALSE,FALSE,FALSE,2,2,2,"149;159",149,159,10,20.9678090653268,1,1,1,1,1,1,1
"TP53","cluster_0035","171;175;197;205","1D","Weak clustering evidence",FALSE,FALSE,FALSE,TRUE,FALSE,5,6,4,"171;175;197;205",171,205,34,22.5337260789245,0.752988047808765,0.641434262948207,1,1,1,1,1
"TP53","cluster_0036","135;136;149;159","1D","Weak clustering evidence",FALSE,FALSE,FALSE,FALSE,FALSE,3,4,4,"135;136;149;159",135,159,24,33.5454334895228,1,1,1,1,1,1,1
"TP53","cluster_0037","91;105","1D","Weak clustering evidence",FALSE,FALSE,FALSE,FALSE,FALSE,2,2,2,"91;105",91,105,14,33.8197680063007,1,1,1,1,1,1,1
"TP53","cluster_0038","135;136;149;159;171;175;197;205","1D","Weak clustering evidence",FALSE,FALSE,FALSE,FALSE,FALSE,7,10,8,"135;136;149;159;171;175;197;205",135,205,70,36.2203450149222,0.593625498007968,0.577689243027888,1,1,1,1,1
"TP53","cluster_0039","306;327","1D;3D","Weak clustering evidence",FALSE,FALSE,FALSE,FALSE,FALSE,2,2,2,"306;327",306,327,21,37.8933452336951,1,1,1,1,1,1,1
"TP53","cluster_0040","72;91;105","1D","Weak clustering evidence",FALSE,FALSE,FALSE,FALSE,FALSE,4,4,3,"72;91;105",72,105,33,68.0810175452747,0.9800796812749,1,1,1,1,1,1
"TP53","cluster_0041","72;91;105;135;136;149;159;171;175;197;205","1D","Weak clustering evidence",FALSE,FALSE,FALSE,TRUE,TRUE,11,14,11,"72;91;105;135;136;149;159;171;175;197;205",72,205,133,68.4879897646295,0.326693227091633,0.414342629482072,0.98804780876494,0.99601593625498,1,1,1
