"event_id","subject_id","loc_start","loc_end","span_aa","input_row","mapped_residues","expected_residues","complete_mapping"
"1","PAUCIZ",31,31,1,1,1,1,TRUE
"2","PAUCIZ",31,31,1,2,1,1,TRUE
"3","PAUXAB",234,234,1,3,1,1,TRUE
"4","PARFWJ",130,130,1,4,1,1,TRUE
"5","PARGHJ",235,235,1,5,1,1,TRUE
"6","PARHEL",8,8,1,6,0,1,FALSE
"7","PARIET",336,336,1,7,1,1,TRUE
"8","PARMKM",232,232,1,8,1,1,TRUE
"9","PARTBP",130,130,1,9,1,1,TRUE
"10","PARUCV",184,184,1,10,1,1,TRUE
"11","PARWLP",247,247,1,11,1,1,TRUE
"12","PASILW",250,250,1,12,1,1,TRUE
"13","PASLAB",247,247,1,13,1,1,TRUE
"14","PASLAB",247,247,1,14,1,1,TRUE
"15","PASPDL",173,173,1,15,1,1,TRUE
"16","PASPNI",243,243,1,16,1,1,TRUE
"17","PASSSR",298,298,1,17,0,1,FALSE
"18","PASTJN",173,173,1,18,1,1,TRUE
"19","PASVIN",233,233,1,19,1,1,TRUE
"20","PASVZJ",237,237,1,20,1,1,TRUE
"21","PASYNX",245,245,1,21,1,1,TRUE
"22","PATADU",233,233,1,22,1,1,TRUE
"23","PATBDK",174,174,1,23,1,1,TRUE
"24","PATBDK",233,233,1,24,1,1,TRUE
"25","PATBGH",246,246,1,25,1,1,TRUE
"26","PATEFF",233,233,1,26,1,1,TRUE
"27","PATFJP",233,233,1,27,1,1,TRUE
"28","PATGMP",130,130,1,28,1,1,TRUE
"29","PATGMP",335,335,1,29,1,1,TRUE
"30","PATGVD",173,173,1,30,1,1,TRUE
"31","PATIKN",234,234,1,31,1,1,TRUE
"32","PATIKN",235,235,1,32,1,1,TRUE
"33","PATJXW",234,234,1,33,1,1,TRUE
"34","PATKIH",233,233,1,34,1,1,TRUE
"35","PATKPW",134,134,1,35,1,1,TRUE
"36","PATKVD",97,97,1,36,1,1,TRUE
"37","PATLNZ",221,221,1,37,1,1,TRUE
"38","PATLUU",244,244,1,38,1,1,TRUE
"39","PATPDA",233,233,1,39,1,1,TRUE
"40","PATSPK",130,130,1,40,1,1,TRUE
"41","PATTIG",246,246,1,41,1,1,TRUE
"42","PATVTZ",249,249,1,42,1,1,TRUE
"43","PATVTZ",250,250,1,43,1,1,TRUE
"44","PAUCFA",130,130,1,44,1,1,TRUE
"45","PAUCRG",234,234,1,45,1,1,TRUE
"46","PAUDPH",234,234,1,46,1,1,TRUE
"47","PAUGAA",234,234,1,47,1,1,TRUE
"48","PAUGAA",336,336,1,48,1,1,TRUE
"49","PAUGXW",233,233,1,49,1,1,TRUE
"50","PAUGXW",234,234,1,50,1,1,TRUE
"51","PAUJRU",233,233,1,51,1,1,TRUE
"52","PAUKYJ",234,234,1,52,1,1,TRUE
"53","PAUMHZ",335,335,1,53,1,1,TRUE
"54","PAUMKW",237,237,1,54,1,1,TRUE
"55","PAUNTS",233,233,1,55,1,1,TRUE
"56","PAUNTS",234,234,1,56,1,1,TRUE
"57","PAUNZE",233,233,1,57,1,1,TRUE
"58","PAURCM",233,233,1,58,1,1,TRUE
"59","PAURTD",235,235,1,59,1,1,TRUE
"60","PAUUSY",130,130,1,60,1,1,TRUE
"61","PAUUSY",246,246,1,61,1,1,TRUE
"62","PAUVAJ",249,249,1,62,1,1,TRUE
"63","PAUVWZ",135,135,1,63,1,1,TRUE
"64","PAUVYF",160,160,1,64,1,1,TRUE
"65","PAUWLB",233,233,1,65,1,1,TRUE
"66","PAUXHP",233,233,1,66,1,1,TRUE
"67","PAUXHP",234,234,1,67,1,1,TRUE
"68","PAVAJG",251,251,1,68,1,1,TRUE
"69","PAVBDL",29,29,1,69,1,1,TRUE
"70","PAVBLX",233,233,1,70,1,1,TRUE
"71","PAVFAC",335,335,1,71,1,1,TRUE
"72","PAVHBC",232,232,1,72,1,1,TRUE
"73","PAVHBC",233,233,1,73,1,1,TRUE
"74","PAVJWE",235,235,1,74,1,1,TRUE
"75","PAVKJU",249,249,1,75,1,1,TRUE
"76","PAVKJU",250,250,1,76,1,1,TRUE
"77","PAVLCX",234,234,1,77,1,1,TRUE
"78","PAVLLU",234,234,1,78,1,1,TRUE
"79","PAVMLG",234,234,1,79,1,1,TRUE
"80","PAVMUJ",173,173,1,80,1,1,TRUE
"81","PAVMUJ",186,186,1,81,1,1,TRUE
"82","PAVPGA",233,233,1,82,1,1,TRUE
"83","PAVRAW",233,233,1,83,1,1,TRUE
"84","PAVRLT",326,326,1,84,1,1,TRUE
"85","PAVTAT",245,245,1,85,1,1,TRUE
"86","PAVTAT",245,245,1,86,1,1,TRUE
"87","PAVUKV",251,251,1,87,1,1,TRUE
"88","PAVVBE",252,252,1,88,1,1,TRUE
"89","PAVWJA",233,233,1,89,1,1,TRUE
"90","PAVWJL",245,245,1,90,1,1,TRUE
