"analysis_type","coverage_threshold","coverage_threshold_percent","n_subjects","n_events","p_subjects_conditional","p_events_conditional","p_subjects_bonferroni","p_events_bonferroni","significant_subject_coverage","significant_event_coverage","subject_coverage_testable","event_coverage_testable","n_unique_null_subject_counts","n_unique_null_event_counts","subject_coverage_testability_reason","event_coverage_testability_reason","interpretation_scope","row_key"
"HETDEL",0.5,50,25,25,1,1,1,1,FALSE,FALSE,TRUE,TRUE,30,30,"","","Within-gene coding coverage conditional on a CNA overlapping the CDS","HETDEL|0.500000"
"HETDEL",0.75,75,16,16,0.004995004995005,0.004995004995005,0.0599400599400599,0.0599400599400599,FALSE,FALSE,TRUE,TRUE,14,14,"","","Within-gene coding coverage conditional on a CNA overlapping the CDS","HETDEL|0.750000"
"HETDEL",0.9,90,6,6,0.855144855144855,0.855144855144855,1,1,FALSE,FALSE,TRUE,TRUE,14,14,"","","Within-gene coding coverage conditional on a CNA overlapping the CDS","HETDEL|0.900000"
"HETDEL",1,100,5,5,0.898101898101898,0.898101898101898,1,1,FALSE,FALSE,TRUE,TRUE,13,13,"","","Within-gene coding coverage conditional on a CNA overlapping the CDS","HETDEL|1.000000"
"HOMDEL",0.5,50,2,2,0.988011988011988,0.988011988011988,1,1,FALSE,FALSE,TRUE,TRUE,14,14,"","","Within-gene coding coverage conditional on a CNA overlapping the CDS","HOMDEL|0.500000"
"HOMDEL",0.75,75,1,1,0.420579420579421,0.420579420579421,1,1,FALSE,FALSE,TRUE,TRUE,3,3,"","","Within-gene coding coverage conditional on a CNA overlapping the CDS","HOMDEL|0.750000"
"HOMDEL",0.9,90,0,0,1,1,1,1,FALSE,FALSE,TRUE,TRUE,2,2,"","","Within-gene coding coverage conditional on a CNA overlapping the CDS","HOMDEL|0.900000"
"HOMDEL",1,100,0,0,1,1,1,1,FALSE,FALSE,TRUE,TRUE,2,2,"","","Within-gene coding coverage conditional on a CNA overlapping the CDS","HOMDEL|1.000000"
"ALL_CNA",0.5,50,27,27,1,1,1,1,FALSE,FALSE,TRUE,TRUE,32,34,"","","Within-gene coding coverage conditional on a CNA overlapping the CDS","ALL_CNA|0.500000"
"ALL_CNA",0.75,75,17,17,0.002997002997003,0.002997002997003,0.035964035964036,0.035964035964036,TRUE,TRUE,TRUE,TRUE,15,15,"","","Within-gene coding coverage conditional on a CNA overlapping the CDS","ALL_CNA|0.750000"
"ALL_CNA",0.9,90,6,6,0.885114885114885,0.885114885114885,1,1,FALSE,FALSE,TRUE,TRUE,15,15,"","","Within-gene coding coverage conditional on a CNA overlapping the CDS","ALL_CNA|0.900000"
"ALL_CNA",1,100,5,5,0.917082917082917,0.917082917082917,1,1,FALSE,FALSE,TRUE,TRUE,14,14,"","","Within-gene coding coverage conditional on a CNA overlapping the CDS","ALL_CNA|1.000000"
