"exon_order_1","transcript_exon_rank_1","exon_id_1","exon_order_2","transcript_exon_rank_2","exon_id_2","adjacent_in_transcript","n_cross_residue_pairs","n_smallest_distances_used","minimum_distance","robust_distance","median_cross_distance","sequence_filter_fallback"
1,1,"ENSE00001136349",2,2,"ENSE00003638064",TRUE,1588,5,22.4507926808832,22.9066951093047,59.8063343615708,FALSE
1,1,"ENSE00001136349",3,3,"ENSE00003515141",FALSE,3195,5,47.6808122938358,48.4410581048284,79.7219612716597,FALSE
1,1,"ENSE00001136349",4,4,"ENSE00003558404",FALSE,3195,5,28.8937589281838,29.9170885766708,64.420995249996,FALSE
1,1,"ENSE00001136349",5,5,"ENSE00003663409",FALSE,2201,5,21.4326095937942,22.5080689964516,60.0189587880363,FALSE
1,1,"ENSE00001136349",6,6,"ENSE00003468993",FALSE,2059,5,24.4475964871805,25.787586173194,59.3095818649904,FALSE
1,1,"ENSE00001136349",7,7,"ENSE00003478404",FALSE,2982,5,28.8261095883576,29.1500557568917,67.0555453729499,FALSE
1,1,"ENSE00001136349",8,8,"ENSE00003604670",FALSE,3905,5,8.32479273015251,8.81984682751646,41.7609917267299,FALSE
1,1,"ENSE00001136349",9,9,"ENSE00003651348",FALSE,2556,5,8.85388959723352,10.0248159892449,37.9249066579117,FALSE
1,1,"ENSE00001136349",10,10,"ENSE00003530344",FALSE,1207,5,19.2655077794487,20.387414135971,41.3388099852911,FALSE
1,1,"ENSE00001136349",11,11,"ENSE00003510092",FALSE,781,5,20.203550925518,20.7918093807491,39.4708958474469,FALSE
2,2,"ENSE00003638064",3,3,"ENSE00003515141",TRUE,980,5,33.5876449457237,34.0309003984641,85.6704710489965,FALSE
2,2,"ENSE00003638064",4,4,"ENSE00003558404",FALSE,1035,5,77.479361303511,78.9045395221081,110.852406586416,FALSE
2,2,"ENSE00003638064",5,5,"ENSE00003663409",FALSE,713,5,52.3279612253334,54.3143059694292,98.9991050060555,FALSE
2,2,"ENSE00003638064",6,6,"ENSE00003468993",FALSE,667,5,43.2724656796906,44.6269259038888,70.1188321422997,FALSE
2,2,"ENSE00003638064",7,7,"ENSE00003478404",FALSE,966,5,21.8467396423356,23.2749164431907,54.8453349987705,FALSE
2,2,"ENSE00003638064",8,8,"ENSE00003604670",FALSE,1265,5,30.5657621203856,31.3792836811313,53.3429763511561,FALSE
2,2,"ENSE00003638064",9,9,"ENSE00003651348",FALSE,828,5,38.4200358406912,39.0847791807441,65.7328097082682,FALSE
2,2,"ENSE00003638064",10,10,"ENSE00003530344",FALSE,391,5,33.0044915882672,35.3501238947475,64.28889578302,FALSE
2,2,"ENSE00003638064",11,11,"ENSE00003510092",FALSE,253,5,26.4172702223375,27.6747371734579,55.6527422864319,FALSE
3,3,"ENSE00003515141",4,4,"ENSE00003558404",TRUE,1980,5,24.1422940293585,25.5430515083498,92.1695085622445,FALSE
3,3,"ENSE00003515141",5,5,"ENSE00003663409",FALSE,1395,5,41.8848035927113,44.1808778248162,103.932750973887,FALSE
3,3,"ENSE00003515141",6,6,"ENSE00003468993",FALSE,1305,5,28.8854792066879,30.5997578600924,60.6696511280558,FALSE
3,3,"ENSE00003515141",7,7,"ENSE00003478404",FALSE,1890,5,17.692206363255,17.9481566370832,49.303129650864,FALSE
3,3,"ENSE00003515141",8,8,"ENSE00003604670",FALSE,2475,5,21.581604852281,21.8304226447998,57.4540408413542,FALSE
3,3,"ENSE00003515141",9,9,"ENSE00003651348",FALSE,1620,5,27.510550594272,28.5378852196066,67.5306030690952,FALSE
3,3,"ENSE00003515141",10,10,"ENSE00003530344",FALSE,765,5,23.1949222460434,23.9641565570774,59.7449724914155,FALSE
3,3,"ENSE00003515141",11,11,"ENSE00003510092",FALSE,495,5,50.1051454742924,52.5454069639273,81.7214942288747,FALSE
4,4,"ENSE00003558404",5,5,"ENSE00003663409",TRUE,1340,5,25.116156772086,25.8778451866679,50.7235901843141,FALSE
4,4,"ENSE00003558404",6,6,"ENSE00003468993",FALSE,1305,5,24.5928255188378,25.1023254288241,70.8416396619954,FALSE
4,4,"ENSE00003558404",7,7,"ENSE00003478404",FALSE,1890,5,53.3656196160037,55.4399779925695,93.1723265832088,FALSE
4,4,"ENSE00003558404",8,8,"ENSE00003604670",FALSE,2475,5,30.8093601037087,31.9056803847688,66.2193108692623,FALSE
4,4,"ENSE00003558404",9,9,"ENSE00003651348",FALSE,1620,5,27.6318984689797,28.0246442860132,57.2224089735124,FALSE
4,4,"ENSE00003558404",10,10,"ENSE00003530344",FALSE,765,5,25.1698967816716,26.017170527305,56.9862693637687,FALSE
4,4,"ENSE00003558404",11,11,"ENSE00003510092",FALSE,495,5,45.9980764923926,46.6929587977115,76.7366373709456,FALSE
5,5,"ENSE00003663409",6,6,"ENSE00003468993",TRUE,844,5,21.6288777563701,23.3470108635339,71.7504878906635,FALSE
5,5,"ENSE00003663409",7,7,"ENSE00003478404",FALSE,1302,5,57.802519754765,59.5255826879243,102.7042905653,FALSE
5,5,"ENSE00003663409",8,8,"ENSE00003604670",FALSE,1705,5,32.0455642796316,32.7009051669741,69.711692928805,FALSE
5,5,"ENSE00003663409",9,9,"ENSE00003651348",FALSE,1116,5,31.2548131493375,31.7197527843082,58.1320853803164,FALSE
5,5,"ENSE00003663409",10,10,"ENSE00003530344",FALSE,527,5,16.6072784946842,17.9760965017505,60.9868586254449,FALSE
5,5,"ENSE00003663409",11,11,"ENSE00003510092",FALSE,341,5,19.618333619347,21.6125746887117,59.6489358664511,FALSE
6,6,"ENSE00003468993",7,7,"ENSE00003478404",TRUE,1163,5,28.4507316250391,28.9776130629719,71.251882052336,FALSE
6,6,"ENSE00003468993",8,8,"ENSE00003604670",FALSE,1595,5,32.0455642796316,32.7009051669741,51.0724458490094,FALSE
6,6,"ENSE00003468993",9,9,"ENSE00003651348",FALSE,1044,5,31.2548131493375,31.7651623868169,57.1030192247608,FALSE
6,6,"ENSE00003468993",10,10,"ENSE00003530344",FALSE,493,5,16.6072784946842,17.4842839709602,32.6148491794765,FALSE
6,6,"ENSE00003468993",11,11,"ENSE00003510092",FALSE,319,5,19.618333619347,20.42368929567,41.2417743192506,FALSE
7,7,"ENSE00003478404",8,8,"ENSE00003604670",TRUE,2255,5,21.033980388885,21.8421784038182,43.6693542658922,FALSE
7,7,"ENSE00003478404",9,9,"ENSE00003651348",FALSE,1512,5,26.9186698965606,29.4145975977626,55.0465180668971,FALSE
7,7,"ENSE00003478404",10,10,"ENSE00003530344",FALSE,714,5,29.0811180149595,30.7981658342698,53.4445145223284,FALSE
7,7,"ENSE00003478404",11,11,"ENSE00003510092",FALSE,462,5,45.9731144692199,47.0903436049671,73.0628813977516,FALSE
8,8,"ENSE00003604670",9,9,"ENSE00003651348",TRUE,1935,5,4.524720875369,5.03891725778913,25.2676243046314,FALSE
8,8,"ENSE00003604670",10,10,"ENSE00003530344",FALSE,935,5,11.2147246956847,11.8664924258717,29.3954888715939,FALSE
8,8,"ENSE00003604670",11,11,"ENSE00003510092",FALSE,605,5,21.6625204673879,22.8385610434202,47.6157514379433,FALSE
9,9,"ENSE00003651348",10,10,"ENSE00003530344",TRUE,567,5,17.9200113281214,18.5793112780779,32.5741743410328,FALSE
9,9,"ENSE00003651348",11,11,"ENSE00003510092",FALSE,396,5,24.0483167186396,25.5907581489115,48.6892109010109,FALSE
10,10,"ENSE00003530344",11,11,"ENSE00003510092",TRUE,132,5,23.1352352268137,23.5635634534127,38.1629346689063,FALSE
