"n_subjects","best_1d_cluster","minimum_1d_diameter","best_1d_joint_p","best_3d_cluster","minimum_3d_diameter","best_3d_joint_p"
3,"cluster_0015",0,0.98804780876494,"cluster_0015",0,0.98804780876494
4,"cluster_0001",0,0.135458167330677,"cluster_0001",0,0.135458167330677
5,"cluster_0012",5,0.852589641434263,"cluster_0012",10.7390200670266,0.97609561752988
6,"cluster_0022",12,0.99601593625498,"cluster_0038",18.2703963284872,1
7,"cluster_0061",29,1,"cluster_0040",19.1222392517194,1
8,"cluster_0004",14,0.414342629482072,"cluster_0004",24.8149722748183,1
9,"cluster_0008",26,0.776892430278884,"cluster_0008",24.8149722748183,0.99601593625498
10,"cluster_0070",66,1,"cluster_0055",33.6940292336788,1
12,"cluster_0065",204,1,"cluster_0065",48.257838213082,1
13,"cluster_0019",81,0.98804780876494,"cluster_0019",62.7487656691349,1
14,"cluster_0071",209,1,"cluster_0071",106.432002710651,1
15,"cluster_0002",90,0.872509960159363,"cluster_0002",30.4670553056904,0.314741035856574
16,"cluster_0069",204,1,"cluster_0009",37.2047040574173,0.816733067729084
19,"cluster_0021",481,1,"cluster_0021",59.4708937716594,0.99601593625498
23,"cluster_0006",169,0.557768924302789,"cluster_0006",98.3661369577966,1
25,"cluster_0010",209,0.816733067729084,"cluster_0010",88.5030292362922,1
27,"cluster_0014",556,1,"cluster_0014",81.627387101389,0.972111553784861
30,"cluster_0011",556,0.99601593625498,"cluster_0011",95.5046686502812,0.840637450199203
36,"cluster_0013",414,0.912350597609562,"cluster_0013",125.658375610223,0.98804780876494
45,"cluster_0007",556,0.741035856573705,"cluster_0007",125.658375610223,0.776892430278884
57,"cluster_0003",660,0.314741035856574,"cluster_0003",137.959662789527,1
