"protein","cluster_id","tree_sources","hotspot_class","significant_1d","significant_3d","significant_any","n_subjects","n_events","n_residues","residues","p_1d_joint","p_3d_joint","p_any_joint"
"TP53","SNV_cluster_0001","3D","Nonlocal, 3D-specific hotspot",FALSE,TRUE,TRUE,18,23,14,"135;136;159;171;175;197;205;239;244;245;248;273;277;282",0.0533893221355729,0.001999600079984,0.001999600079984
"TP53","SNV_cluster_0002","3D","Nonlocal, 3D-specific hotspot",FALSE,TRUE,TRUE,7,7,3,"239;248;273",0.938412317536493,0.001999600079984,0.001999600079984
"TP53","SNV_cluster_0003","3D","Nonlocal, 3D-specific hotspot",FALSE,TRUE,TRUE,12,13,7,"135;136;239;248;273;277;282",0.960207958408318,0.001999600079984,0.001999600079984
"TP53","SNV_cluster_0004","1D","Sequence-local hotspot also compact in structure",TRUE,TRUE,TRUE,13,14,7,"239;244;245;248;273;277;282",0.00599880023995201,0.0191961607678464,0.00599880023995201
"TP53","SNV_cluster_0005","1D","Linear hotspot without independent 3D enrichment",TRUE,FALSE,TRUE,6,7,3,"244;245;248",0.00599880023995201,0.0601879624075185,0.00599880023995201
"TP53","SNV_cluster_0006","1D;3D","Sequence-local hotspot also compact in structure",TRUE,TRUE,TRUE,4,4,1,"248",0.00999800039992002,0.00999800039992002,0.00999800039992002
"TP53","SNV_cluster_0007","1D","Sequence-local hotspot also compact in structure",TRUE,TRUE,TRUE,7,8,4,"239;244;245;248",0.0191961607678464,0.0107978404319136,0.0107978404319136
"TP53","SNV_cluster_0008","1D;3D","Nonlocal, 3D-specific hotspot",FALSE,TRUE,TRUE,19,24,15,"105;135;136;159;171;175;197;205;239;244;245;248;273;277;282",0.172165566886623,0.0379924015196961,0.0379924015196961
"TP53","SNV_cluster_0009","3D","Nonlocal, 3D-specific hotspot",FALSE,TRUE,TRUE,7,7,4,"171;175;244;245",0.999800039992002,0.0493901219756049,0.0493901219756049
"TP53","SNV_cluster_0010","1D","Weak clustering evidence",FALSE,FALSE,FALSE,6,6,3,"273;277;282",0.140971805638872,0.0631873625274945,0.0631873625274945
"TP53","SNV_cluster_0011","3D","Weak clustering evidence",FALSE,FALSE,FALSE,5,5,3,"175;244;245",1,0.152369526094781,0.152369526094781
"TP53","SNV_cluster_0012","3D","Weak clustering evidence",FALSE,FALSE,FALSE,6,6,4,"135;136;277;282",1,0.233553289342132,0.233553289342132
"TP53","SNV_cluster_0013","1D;3D","Weak clustering evidence",FALSE,FALSE,FALSE,3,3,1,"282",0.324335132973405,0.324335132973405,0.324335132973405
"TP53","SNV_cluster_0014","1D","Weak clustering evidence",FALSE,FALSE,FALSE,4,4,2,"171;175",0.762847430513897,1,0.762847430513897
"TP53","SNV_cluster_0015","3D","Weak clustering evidence",FALSE,FALSE,FALSE,8,10,7,"159;171;175;197;205;244;245",0.997800439912018,0.863427314537093,0.863427314537093
"TP53","SNV_cluster_0016","1D;3D","Weak clustering evidence",FALSE,FALSE,FALSE,3,3,2,"244;245",0.887222555488902,0.866826634673065,0.866826634673065
"TP53","SNV_cluster_0017","1D","Weak clustering evidence",FALSE,FALSE,FALSE,5,5,3,"159;171;175",0.992001599680064,0.999400119976005,0.992001599680064
"TP53","SNV_cluster_0018","1D","Weak clustering evidence",FALSE,FALSE,FALSE,8,10,8,"105;135;136;159;171;175;197;205",0.999400119976005,0.997600479904019,0.997600479904019
"TP53","SNV_cluster_0019","1D;3D","Weak clustering evidence",FALSE,FALSE,FALSE,2,2,1,"171",1,1,1
"TP53","SNV_cluster_0020","1D;3D","Weak clustering evidence",FALSE,FALSE,FALSE,2,2,1,"175",1,1,1
"TP53","SNV_cluster_0021","1D;3D","Weak clustering evidence",FALSE,FALSE,FALSE,2,2,1,"245",1,1,1
"TP53","SNV_cluster_0022","1D;3D","Weak clustering evidence",FALSE,FALSE,FALSE,2,2,1,"273",1,1,1
"TP53","SNV_cluster_0023","1D;3D","Weak clustering evidence",FALSE,FALSE,FALSE,2,2,2,"135;136",1,1,1
"TP53","SNV_cluster_0024","3D","Weak clustering evidence",FALSE,FALSE,FALSE,3,3,2,"239;273",1,1,1
"TP53","SNV_cluster_0025","3D","Weak clustering evidence",FALSE,FALSE,FALSE,3,3,3,"135;136;277",1,1,1
"TP53","SNV_cluster_0026","3D","Weak clustering evidence",FALSE,FALSE,FALSE,2,2,2,"159;197",1,1,1
"TP53","SNV_cluster_0027","1D","Weak clustering evidence",FALSE,FALSE,FALSE,2,2,2,"197;205",1,1,1
"TP53","SNV_cluster_0028","3D","Weak clustering evidence",FALSE,FALSE,FALSE,2,3,3,"159;197;205",1,1,1
"TP53","SNV_cluster_0029","1D","Weak clustering evidence",FALSE,FALSE,FALSE,3,3,2,"273;277",1,1,1
"TP53","SNV_cluster_0030","1D","Weak clustering evidence",FALSE,FALSE,FALSE,5,7,5,"159;171;175;197;205",1,1,1
"TP53","SNV_cluster_0031","1D","Weak clustering evidence",FALSE,FALSE,FALSE,3,3,3,"105;135;136",1,1,1
"TP53","INDEL_cluster_0001","1D;3D","Weak clustering evidence",FALSE,FALSE,FALSE,2,2,2,"149;327",0.969406118776245,0.981803639272146,0.969406118776245
