"n_subjects","best_1d_cluster","minimum_1d_diameter","best_1d_joint_p","best_3d_cluster","minimum_3d_diameter","best_3d_joint_p"
2,"cluster_0022",0,1,"cluster_0022",0,1
3,"cluster_0020",0,0.798004987531172,"cluster_0020",0,0.798004987531172
4,"cluster_0013",0,0.134663341645885,"cluster_0013",0,0.134663341645885
5,"cluster_0018",4,0.600997506234414,"cluster_0018",8.70118089686682,0.775561097256858
6,"cluster_0001",0,0.0324189526184539,"cluster_0001",0,0.0324189526184539
7,"cluster_0002",2,0.0324189526184539,"cluster_0002",6.01881142751623,0.0324189526184539
8,"cluster_0009",7,0.0324189526184539,"cluster_0009",19.8884561743741,0.987531172069825
9,"cluster_0003",8,0.0324189526184539,"cluster_0003",10.8276047212668,0.0324189526184539
11,"cluster_0006",14,0.0324189526184539,"cluster_0006",17.3730891035532,0.134663341645885
13,"cluster_0008",24,0.0324189526184539,"cluster_0010",21.5980108574841,0.0997506234413965
14,"cluster_0012",52,0.0997506234413965,"cluster_0012",31.9796167738139,0.8428927680798
18,"cluster_0017",103,0.246882793017456,"cluster_0017",52.2636702308592,0.970074812967581
20,"cluster_0014",429,0.947630922693267,"cluster_0014",35.1638721132926,0.134663341645885
31,"cluster_0007",176,0.0324189526184539,"cluster_0007",52.2636702308592,0.206982543640898
32,"cluster_0005",429,0.0997506234413965,"cluster_0005",52.2636702308592,0.0324189526184539
35,"cluster_0004",445,0.0324189526184539,"cluster_0004",68.4787523615902,0.0324189526184539
38,"cluster_0019",702,1,"cluster_0019",80.4548237273565,0.640897755610973
