"protein","cluster_id","candidate_key","tree_sources","hotspot_class","significant_1d","significant_3d","significant_any","best_1d_for_size","best_3d_for_size","n_subjects","n_events","n_residues","residues","residue_min","residue_max","diameter_1d","diameter_3d","p_1d_size","p_3d_size","p_1d_protein","p_3d_protein","p_1d_joint","p_3d_joint","p_any_joint"
"SUZ12","cluster_0001","423","1D;3D","Weak clustering evidence",FALSE,FALSE,FALSE,TRUE,TRUE,4,4,1,"423",423,423,0,0,0.00443458980044346,0.00443458980044346,0.0532150776053215,0.0598669623059867,0.1019955654102,0.1019955654102,0.1019955654102
"SUZ12","cluster_0002","21;54;55;95;102;104;115;117;118;121;166;195;199;230;266;267;268;274;289;294;295;309;312;320;322;341;347;369;370;382;395;398;423;431;435;472;474;499;518;533;535;557;558;565;567;577;591;594;596;600;604;605;617;636;638;644;651;654;662;681","1D;3D","Weak clustering evidence",FALSE,FALSE,FALSE,TRUE,TRUE,57,72,60,"21;54;55;95;102;104;115;117;118;121;166;195;199;230;266;267;268;274;289;294;295;309;312;320;322;341;347;369;370;382;395;398;423;431;435;472;474;499;518;533;535;557;558;565;567;577;591;594;596;600;604;605;617;636;638;644;651;654;662;681",21,681,660,137.959662789527,0.00665188470066519,0.727272727272727,0.0643015521064302,1,0.133037694013304,1,0.133037694013304
"SUZ12","cluster_0003","591;594;596;600;604;605;617;636;638;644;651;654;662;681","1D;3D","Weak clustering evidence",FALSE,FALSE,FALSE,TRUE,TRUE,15,17,14,"591;594;596;600;604;605;617;636;638;644;651;654;662;681",591,681,90,30.4670553056904,0.0909090909090909,0.0133037694013304,0.745011086474501,0.201773835920177,0.902439024390244,0.28159645232816,0.28159645232816
"SUZ12","cluster_0004","591;594;596;600;604;605","1D;3D","Weak clustering evidence",FALSE,FALSE,FALSE,TRUE,TRUE,8,9,6,"591;594;596;600;604;605",591,605,14,24.8149722748183,0.0155210643015521,0.376940133037694,0.170731707317073,1,0.330376940133038,1,0.330376940133038
"SUZ12","cluster_0005","604;605","1D;3D","Weak clustering evidence",FALSE,FALSE,FALSE,FALSE,FALSE,4,4,2,"604;605",604,605,1,3.8634365531221,0.0310421286031042,0.024390243902439,0.354767184035477,0.361419068736142,0.556541019955654,0.476718403547672,0.476718403547672
"SUZ12","cluster_0006","21;54;55;95;102;104;115;117;118;121;166;195;199;230;266;267;268;274;289;294;295;309;312;320;322;341;347;369;370;382;395;398;423;431;435;472;474;499;518;533;535;557;558;565;567;577","3D","Weak clustering evidence",FALSE,FALSE,FALSE,TRUE,TRUE,45,55,46,"21;54;55;95;102;104;115;117;118;121;166;195;199;230;266;267;268;274;289;294;295;309;312;320;322;341;347;369;370;382;395;398;423;431;435;472;474;499;518;533;535;557;558;565;567;577",21,577,556,125.658375610223,0.0376940133037694,0.0332594235033259,0.430155210643016,0.456762749445676,0.634146341463415,0.598669623059867,0.598669623059867
"SUZ12","cluster_0007","266;267;268;274;289;294;295;309;312;320;322;341;347;369;370;382;395;398;423;431;435","1D","Weak clustering evidence",FALSE,FALSE,FALSE,TRUE,TRUE,23,26,21,"266;267;268;274;289;294;295;309;312;320;322;341;347;369;370;382;395;398;423;431;435",266,435,169,98.3661369577966,0.0376940133037694,0.330376940133038,0.430155210643016,1,0.634146341463415,1,0.634146341463415
"SUZ12","cluster_0008","472;474;499;518;533;535;557;558;565;567;577;591;594;596;600;604;605;617;636;638;644;651;654;662;681","1D","Weak clustering evidence",FALSE,FALSE,FALSE,TRUE,TRUE,25,30,25,"472;474;499;518;533;535;557;558;565;567;577;591;594;596;600;604;605;617;636;638;644;651;654;662;681",472,681,209,88.5030292362922,0.0399113082039911,0.190687361419069,0.447893569844789,0.966740576496674,0.656319290465632,0.995565410199557,0.656319290465632
"SUZ12","cluster_0009","591;594;596;600;604;605;617","1D","Weak clustering evidence",FALSE,FALSE,FALSE,TRUE,TRUE,9,10,7,"591;594;596;600;604;605;617",591,617,26,24.8149722748183,0.0465631929046563,0.148558758314856,0.496674057649667,0.929046563192905,0.71840354767184,0.982261640798226,0.71840354767184
"SUZ12","cluster_0010","21;54;55;95;102;104;115;117;118;121;195;199;382;395;398;423;431;435;472;474;499;518;533;535;557;558;565;567;577","3D","Weak clustering evidence",FALSE,FALSE,FALSE,TRUE,TRUE,30,36,29,"21;54;55;95;102;104;115;117;118;121;195;199;382;395;398;423;431;435;472;474;499;518;533;535;557;558;565;567;577",21,577,556,95.5046686502812,0.186252771618625,0.048780487804878,0.957871396895787,0.563192904656319,0.995565410199557,0.740576496674058,0.740576496674058
"SUZ12","cluster_0011","21;54;55;95;102;104;115;117;118;121;166;195;199;230;266;267;268;274;289;294;295;309;312;320;322;341;347;369;370;382;395;398;423;431;435","1D","Weak clustering evidence",FALSE,FALSE,FALSE,TRUE,TRUE,36,42,35,"21;54;55;95;102;104;115;117;118;121;166;195;199;230;266;267;268;274;289;294;295;309;312;320;322;341;347;369;370;382;395;398;423;431;435",21,435,414,125.658375610223,0.0532150776053215,0.141906873614191,0.532150776053215,0.913525498891353,0.764966740576497,0.973392461197339,0.764966740576497
"SUZ12","cluster_0012","95;102;104;115;117;118;121;423;431;435;472;474;533;535","3D","Weak clustering evidence",FALSE,FALSE,FALSE,FALSE,TRUE,16,20,14,"95;102;104;115;117;118;121;423;431;435;472;474;533;535",95,535,440,37.2047040574173,0.558758314855876,0.0554323725055432,1,0.592017738359202,1,0.767184035476718,0.767184035476718
"SUZ12","cluster_0013","600;604;605","1D","Weak clustering evidence",FALSE,FALSE,FALSE,TRUE,TRUE,5,6,3,"600;604;605",600,605,5,10.7390200670266,0.0842572062084257,0.16629711751663,0.71840354767184,0.944567627494457,0.882483370288248,0.991130820399113,0.882483370288248
"SUZ12","cluster_0014","535","1D;3D","Weak clustering evidence",FALSE,FALSE,FALSE,TRUE,TRUE,3,3,1,"535",535,535,0,0,0.0931263858093126,0.0931263858093126,0.764966740576497,0.776053215077605,0.913525498891353,0.913525498891353,0.913525498891353
"SUZ12","cluster_0015","54","1D;3D","Weak clustering evidence",FALSE,FALSE,FALSE,TRUE,TRUE,3,3,1,"54",54,54,0,0,0.0931263858093126,0.0931263858093126,0.764966740576497,0.776053215077605,0.913525498891353,0.913525498891353,0.913525498891353
"SUZ12","cluster_0016","55","1D;3D","Weak clustering evidence",FALSE,FALSE,FALSE,TRUE,TRUE,3,3,1,"55",55,55,0,0,0.0931263858093126,0.0931263858093126,0.764966740576497,0.776053215077605,0.913525498891353,0.913525498891353,0.913525498891353
"SUZ12","cluster_0017","605","1D;3D","Weak clustering evidence",FALSE,FALSE,FALSE,TRUE,TRUE,3,3,1,"605",605,605,0,0,0.0931263858093126,0.0931263858093126,0.764966740576497,0.776053215077605,0.913525498891353,0.913525498891353,0.913525498891353
"SUZ12","cluster_0018","21;54;55;95;102;104;115;117;118;121;195;199;423;431;435;472;474;499;518;533;535;557;558;565;567;577","3D","Weak clustering evidence",FALSE,FALSE,FALSE,TRUE,TRUE,27,33,26,"21;54;55;95;102;104;115;117;118;121;195;199;423;431;435;472;474;499;518;533;535;557;558;565;567;577",21,577,556,81.627387101389,0.266075388026608,0.0953436807095344,0.995565410199557,0.791574279379157,1,0.926829268292683,0.926829268292683
"SUZ12","cluster_0019","54;55","1D;3D","Weak clustering evidence",FALSE,FALSE,FALSE,FALSE,FALSE,3,3,2,"54;55",54,55,1,3.58693072138283,0.478935698447894,0.108647450110865,1,0.835920177383592,1,0.951219512195122,0.951219512195122
"SUZ12","cluster_0020","54;55;95;102;104;115;117;118;121;423;431;435;472;474;533;535","3D","Weak clustering evidence",FALSE,FALSE,FALSE,TRUE,TRUE,19,23,16,"54;55;95;102;104;115;117;118;121;423;431;435;472;474;533;535",54,535,481,59.4708937716594,0.41019955654102,0.144124168514412,1,0.917960088691796,1,0.973392461197339,0.973392461197339
"SUZ12","cluster_0021","423;431;435","1D","Weak clustering evidence",FALSE,FALSE,FALSE,TRUE,FALSE,6,6,3,"423;431;435",423,435,12,37.0382998799891,0.161862527716186,0.991130820399113,0.93569844789357,1,0.988913525498891,1,0.988913525498891
"SUZ12","cluster_0022","266;267;268;274;289;294;295;309;312;320;322;341;347","1D","Weak clustering evidence",FALSE,FALSE,FALSE,TRUE,TRUE,13,14,13,"266;267;268;274;289;294;295;309;312;320;322;341;347",266,347,81,62.7487656691349,0.172949002217295,0.592017738359202,0.944567627494457,1,0.991130820399113,1,0.991130820399113
"SUZ12","cluster_0023","117","1D;3D","Weak clustering evidence",FALSE,FALSE,FALSE,TRUE,TRUE,2,2,1,"117",117,117,0,0,0.988913525498891,0.988913525498891,1,1,1,1,1
"SUZ12","cluster_0024","274","1D;3D","Weak clustering evidence",FALSE,FALSE,FALSE,TRUE,TRUE,2,2,1,"274",274,274,0,0,0.988913525498891,0.988913525498891,1,1,1,1,1
"SUZ12","cluster_0025","95","1D;3D","Weak clustering evidence",FALSE,FALSE,FALSE,TRUE,TRUE,2,2,1,"95",95,95,0,0,0.988913525498891,0.988913525498891,1,1,1,1,1
"SUZ12","cluster_0026","294;295","1D;3D","Weak clustering evidence",FALSE,FALSE,FALSE,FALSE,FALSE,2,2,2,"294;295",294,295,1,3.83077446477863,1,0.997782705099778,1,1,1,1,1
"SUZ12","cluster_0027","117;118","1D;3D","Weak clustering evidence",FALSE,FALSE,FALSE,FALSE,FALSE,2,2,2,"117;118",117,118,1,3.90551725127415,1,1,1,1,1,1,1
"SUZ12","cluster_0028","591;594","3D","Weak clustering evidence",FALSE,FALSE,FALSE,FALSE,FALSE,2,2,2,"591;594",591,594,3,5.18253007709555,1,1,1,1,1,1,1
"SUZ12","cluster_0029","594;596","1D","Weak clustering evidence",FALSE,FALSE,FALSE,FALSE,FALSE,2,2,2,"594;596",594,596,2,5.4368757572709,1,1,1,1,1,1,1
"SUZ12","cluster_0030","115;117;118","1D;3D","Weak clustering evidence",FALSE,FALSE,FALSE,FALSE,FALSE,2,3,3,"115;117;118",115,118,3,5.56420713129912,1,1,1,1,1,1,1
"SUZ12","cluster_0031","636;638","1D;3D","Weak clustering evidence",FALSE,FALSE,FALSE,FALSE,FALSE,2,2,2,"636;638",636,638,2,5.57770642827318,1,1,1,1,1,1,1
"SUZ12","cluster_0032","294;295;322","3D","Weak clustering evidence",FALSE,FALSE,FALSE,FALSE,FALSE,3,3,3,"294;295;322",294,322,28,5.65693989715288,1,0.716186252771619,1,1,1,1,1
"SUZ12","cluster_0033","644;681","3D","Weak clustering evidence",FALSE,FALSE,FALSE,FALSE,FALSE,2,2,2,"644;681",644,681,37,6.0263425890004,1,1,1,1,1,1,1
"SUZ12","cluster_0034","533;535","1D;3D","Weak clustering evidence",FALSE,FALSE,FALSE,FALSE,FALSE,3,4,2,"533;535",533,535,2,6.21716108847117,0.778270509977827,0.829268292682927,1,1,1,1,1
"SUZ12","cluster_0035","320;322","1D","Weak clustering evidence",FALSE,FALSE,FALSE,FALSE,FALSE,2,2,2,"320;322",320,322,2,6.28843287314097,1,1,1,1,1,1,1
"SUZ12","cluster_0036","596;600","3D","Weak clustering evidence",FALSE,FALSE,FALSE,FALSE,FALSE,2,3,2,"596;600",596,600,4,6.37481991902516,1,1,1,1,1,1,1
"SUZ12","cluster_0037","266;267;268","1D;3D","Weak clustering evidence",FALSE,FALSE,FALSE,FALSE,FALSE,2,3,3,"266;267;268",266,268,2,6.57989468000818,1,1,1,1,1,1,1
"SUZ12","cluster_0038","565;567","1D;3D","Weak clustering evidence",FALSE,FALSE,FALSE,FALSE,FALSE,2,2,2,"565;567",565,567,2,6.94970100076255,1,1,1,1,1,1,1
"SUZ12","cluster_0039","651;654","1D;3D","Weak clustering evidence",FALSE,FALSE,FALSE,FALSE,FALSE,2,2,2,"651;654",651,654,3,7.80021076638318,1,1,1,1,1,1,1
"SUZ12","cluster_0040","195;199","1D;3D","Weak clustering evidence",FALSE,FALSE,FALSE,FALSE,FALSE,2,2,2,"195;199",195,199,4,8.2622826143869,1,1,1,1,1,1,1
"SUZ12","cluster_0041","294;295;320;322","3D","Weak clustering evidence",FALSE,FALSE,FALSE,FALSE,FALSE,4,4,4,"294;295;320;322",294,322,28,8.34813176704824,1,0.286031042128603,1,1,1,1,1
"SUZ12","cluster_0042","591;594;596","1D","Weak clustering evidence",FALSE,FALSE,FALSE,FALSE,FALSE,3,3,3,"591;594;596",591,596,5,8.56433721895629,0.997782705099778,0.964523281596452,1,1,1,1,1
"SUZ12","cluster_0043","312;369;370","3D","Weak clustering evidence",FALSE,FALSE,FALSE,FALSE,FALSE,2,4,3,"312;369;370",312,370,58,9.15246944818719,1,1,1,1,1,1,1
"SUZ12","cluster_0044","395;398","1D;3D","Weak clustering evidence",FALSE,FALSE,FALSE,FALSE,FALSE,2,2,2,"395;398",395,398,3,9.59064236639027,1,1,1,1,1,1,1
"SUZ12","cluster_0045","115;117;118;121","1D;3D","Weak clustering evidence",FALSE,FALSE,FALSE,FALSE,FALSE,3,4,4,"115;117;118;121",115,121,6,9.6003272860877,1,0.988913525498891,1,1,1,1,1
"SUZ12","cluster_0046","309;312","1D","Weak clustering evidence",FALSE,FALSE,FALSE,FALSE,FALSE,2,2,2,"309;312",309,312,3,10.0192364479535,1,1,1,1,1,1,1
"SUZ12","cluster_0047","636;638;644","1D","Weak clustering evidence",FALSE,FALSE,FALSE,FALSE,FALSE,2,3,3,"636;638;644",636,644,8,10.516931967071,1,1,1,1,1,1,1
