"reference_run","comparison_run","reference_cluster_id","comparison_cluster_id","reference_residues","comparison_residues","reference_n_residues","comparison_n_residues","reference_tree_sources","comparison_tree_sources","reference_significant","comparison_significant","reference_p_any","comparison_p_any","jaccard","containment","membership_interpretation"
"EZH2_baseline_200","EZH2_min3_500","cluster_0001","cluster_0001","679","679",1,1,"1D;3D","1D;3D",FALSE,FALSE,0.316831683168317,0.163346613545817,1,1,"highly_stable"
"EZH2_baseline_200","EZH2_min3_500","cluster_0002","cluster_0002","725","725",1,1,"1D;3D","1D;3D",FALSE,FALSE,0.316831683168317,0.163346613545817,1,1,"highly_stable"
"EZH2_baseline_200","EZH2_min3_500","cluster_0003","cluster_0003","726","726",1,1,"1D;3D","1D;3D",FALSE,FALSE,0.316831683168317,0.163346613545817,1,1,"highly_stable"
"EZH2_baseline_200","EZH2_min3_500","cluster_0004","cluster_0004","725;726","725;726",2,2,"3D","3D",FALSE,FALSE,0.316831683168317,0.163346613545817,1,1,"highly_stable"
"EZH2_baseline_200","EZH2_min3_500","cluster_0005","cluster_0005","724;725","724;725",2,2,"1D","1D",FALSE,FALSE,0.316831683168317,0.163346613545817,1,1,"highly_stable"
"EZH2_baseline_200","EZH2_min3_500","cluster_0006","cluster_0006","726;727","726;727",2,2,"1D","1D",FALSE,FALSE,0.316831683168317,0.163346613545817,1,1,"highly_stable"
"EZH2_baseline_200","EZH2_min3_500","cluster_0007","cluster_0007","655;657;658","655;657;658",3,3,"3D","3D",FALSE,FALSE,0.316831683168317,0.163346613545817,1,1,"highly_stable"
"EZH2_baseline_200","EZH2_min3_500","cluster_0008","cluster_0008","726;727;728","726;727;728",3,3,"1D","1D",FALSE,FALSE,0.316831683168317,0.163346613545817,1,1,"highly_stable"
"EZH2_baseline_200","EZH2_min3_500","cluster_0009","cluster_0009","655;657;658;659","655;657;658;659",4,4,"1D","1D",FALSE,FALSE,0.316831683168317,0.163346613545817,1,1,"highly_stable"
"EZH2_baseline_200","EZH2_min3_500","cluster_0010","cluster_0010","677;679","677;679",2,2,"1D;3D","1D;3D",FALSE,FALSE,0.316831683168317,0.163346613545817,1,1,"highly_stable"
"EZH2_baseline_200","EZH2_min3_500","cluster_0011","cluster_0011","724;725;726","724;725;726",3,3,"3D","3D",FALSE,FALSE,0.316831683168317,0.163346613545817,1,1,"highly_stable"
"EZH2_baseline_200","EZH2_min3_500","cluster_0012","cluster_0012","727;728;732;733","727;728;732;733",4,4,"3D","3D",FALSE,FALSE,0.316831683168317,0.163346613545817,1,1,"highly_stable"
"EZH2_baseline_200","EZH2_min3_500","cluster_0013","cluster_0013","655;657;658;659;662","655;657;658;659;662",5,5,"1D;3D","1D;3D",FALSE,FALSE,0.316831683168317,0.163346613545817,1,1,"highly_stable"
"EZH2_baseline_200","EZH2_min3_500","cluster_0015","cluster_0014","655;657;658;659;662;677;679;685","655;657;658;659;662;677;679;685",8,8,"3D","3D",FALSE,FALSE,0.316831683168317,0.163346613545817,1,1,"highly_stable"
