"reference_run","comparison_run","reference_cluster_id","comparison_cluster_id","reference_residues","comparison_residues","reference_n_residues","comparison_n_residues","reference_tree_sources","comparison_tree_sources","reference_significant","comparison_significant","reference_p_any","comparison_p_any","jaccard","containment","membership_interpretation"
"TP53_baseline_200","TP53_baseline_seed2_500","cluster_0001","cluster_0001","248","248",1,1,"1D;3D","1D;3D",FALSE,FALSE,0.158415841584158,0.0876494023904383,1,1,"highly_stable"
"TP53_baseline_200","TP53_baseline_seed2_500","cluster_0003","cluster_0002","239;244;245;248","239;244;245;248",4,4,"1D","1D",FALSE,FALSE,0.158415841584158,0.0876494023904383,1,1,"highly_stable"
"TP53_baseline_200","TP53_baseline_seed2_500","cluster_0004","cluster_0003","239;244;245;248;273;277;282","239;244;245;248;273;277;282",7,7,"1D","1D",FALSE,FALSE,0.158415841584158,0.0876494023904383,1,1,"highly_stable"
"TP53_baseline_200","TP53_baseline_seed2_500","cluster_0006","cluster_0004","91;135;136;159;171;175;197;205;239;244;245;248;273;277;282","91;135;136;159;171;175;197;205;239;244;245;248;273;277;282",15,15,"3D","3D",FALSE,FALSE,0.158415841584158,0.0876494023904383,1,1,"highly_stable"
"TP53_baseline_200","TP53_baseline_seed2_500","cluster_0005","cluster_0005","91;105;135;136;149;159;171;175;197;205;239;244;245;248;273;277;282","91;105;135;136;149;159;171;175;197;205;239;244;245;248;273;277;282",17,17,"3D","3D",FALSE,FALSE,0.158415841584158,0.0876494023904383,1,1,"highly_stable"
"TP53_baseline_200","TP53_baseline_seed2_500","cluster_0008","cluster_0006","239;248;273","239;248;273",3,3,"3D","3D",FALSE,FALSE,0.158415841584158,0.0876494023904383,1,1,"highly_stable"
"TP53_baseline_200","TP53_baseline_seed2_500","cluster_0009","cluster_0007","135;136;239;248;273;277;282","135;136;239;248;273;277;282",7,7,"3D","3D",FALSE,FALSE,0.158415841584158,0.0876494023904383,1,1,"highly_stable"
"TP53_baseline_200","TP53_baseline_seed2_500","cluster_0012","cluster_0008","91;171;175;244;245","91;171;175;244;245",5,5,"3D","3D",FALSE,FALSE,0.158415841584158,0.0876494023904383,1,1,"highly_stable"
"TP53_baseline_200","TP53_baseline_seed2_500","cluster_0002","cluster_0009","244;245;248","244;245;248",3,3,"1D","1D",FALSE,FALSE,0.158415841584158,0.0876494023904383,1,1,"highly_stable"
"TP53_baseline_200","TP53_baseline_seed2_500","cluster_0014","cluster_0010","239;244;245;248;273;277;282;306;327","239;244;245;248;273;277;282;306;327",9,9,"1D","1D",FALSE,FALSE,0.158415841584158,0.0876494023904383,1,1,"highly_stable"
"TP53_baseline_200","TP53_baseline_seed2_500","cluster_0015","cluster_0011","72;91;105;135;136;149;159;171;175;197;205;239;244;245;248;273;277;282;306;327","72;91;105;135;136;149;159;171;175;197;205;239;244;245;248;273;277;282;306;327",20,20,"1D;3D","1D;3D",FALSE,FALSE,0.158415841584158,0.0876494023904383,1,1,"highly_stable"
"TP53_baseline_200","TP53_baseline_seed2_500","cluster_0007","cluster_0012","273;277;282","273;277;282",3,3,"1D","1D",FALSE,FALSE,0.158415841584158,0.183266932270916,1,1,"highly_stable"
"TP53_baseline_200","TP53_baseline_seed2_500","cluster_0013","cluster_0013","72;91;105;135;136;149;159;171;175;197;205;239;244;245;248;273;277;282","72;91;105;135;136;149;159;171;175;197;205;239;244;245;248;273;277;282",18,18,"3D","3D",FALSE,FALSE,0.158415841584158,0.183266932270916,1,1,"highly_stable"
"TP53_baseline_200","TP53_baseline_seed2_500","cluster_0010","cluster_0014","175;244;245","175;244;245",3,3,"3D","3D",FALSE,FALSE,0.158415841584158,0.183266932270916,1,1,"highly_stable"
"TP53_baseline_200","TP53_baseline_seed2_500","cluster_0011","cluster_0015","135;136;277;282","135;136;277;282",4,4,"3D","3D",FALSE,FALSE,0.158415841584158,0.223107569721116,1,1,"highly_stable"
"TP53_baseline_200","TP53_baseline_seed2_500","cluster_0016","cluster_0016","282","282",1,1,"1D;3D","1D;3D",FALSE,FALSE,0.445544554455446,0.354581673306773,1,1,"highly_stable"
"TP53_baseline_200","TP53_baseline_seed2_500","cluster_0017","cluster_0017","91;159;171;175;197;205;244;245","91;159;171;175;197;205;244;245",8,8,"3D","3D",FALSE,FALSE,0.544554455445545,0.573705179282869,1,1,"highly_stable"
"TP53_baseline_200","TP53_baseline_seed2_500","cluster_0018","cluster_0018","171;175","171;175",2,2,"1D","1D",FALSE,FALSE,0.910891089108911,0.725099601593626,1,1,"highly_stable"
"TP53_baseline_200","TP53_baseline_seed2_500","cluster_0019","cluster_0019","244;245","244;245",2,2,"1D;3D","1D;3D",FALSE,FALSE,0.98019801980198,0.828685258964143,1,1,"highly_stable"
"TP53_baseline_200","TP53_baseline_seed2_500","cluster_0021","cluster_0020","171","171",1,1,"1D;3D","1D;3D",FALSE,FALSE,1,1,1,1,"highly_stable"
"TP53_baseline_200","TP53_baseline_seed2_500","cluster_0022","cluster_0021","175","175",1,1,"1D;3D","1D;3D",FALSE,FALSE,1,1,1,1,"highly_stable"
"TP53_baseline_200","TP53_baseline_seed2_500","cluster_0023","cluster_0022","245","245",1,1,"1D;3D","1D;3D",FALSE,FALSE,1,1,1,1,"highly_stable"
"TP53_baseline_200","TP53_baseline_seed2_500","cluster_0024","cluster_0023","273","273",1,1,"1D;3D","1D;3D",FALSE,FALSE,1,1,1,1,"highly_stable"
"TP53_baseline_200","TP53_baseline_seed2_500","cluster_0025","cluster_0024","72","72",1,1,"1D;3D","1D;3D",FALSE,FALSE,1,1,1,1,"highly_stable"
"TP53_baseline_200","TP53_baseline_seed2_500","cluster_0026","cluster_0025","135;136","135;136",2,2,"1D;3D","1D;3D",FALSE,FALSE,1,1,1,1,"highly_stable"
"TP53_baseline_200","TP53_baseline_seed2_500","cluster_0027","cluster_0026","239;273","239;273",2,2,"3D","3D",FALSE,FALSE,1,1,1,1,"highly_stable"
"TP53_baseline_200","TP53_baseline_seed2_500","cluster_0028","cluster_0027","135;136;277","135;136;277",3,3,"3D","3D",FALSE,FALSE,1,1,1,1,"highly_stable"
"TP53_baseline_200","TP53_baseline_seed2_500","cluster_0029","cluster_0028","159;197","159;197",2,2,"3D","3D",FALSE,FALSE,1,1,1,1,"highly_stable"
"TP53_baseline_200","TP53_baseline_seed2_500","cluster_0030","cluster_0029","197;205","197;205",2,2,"1D","1D",FALSE,FALSE,1,1,1,1,"highly_stable"
"TP53_baseline_200","TP53_baseline_seed2_500","cluster_0031","cluster_0030","159;197;205","159;197;205",3,3,"3D","3D",FALSE,FALSE,1,1,1,1,"highly_stable"
"TP53_baseline_200","TP53_baseline_seed2_500","cluster_0032","cluster_0031","91;171","91;171",2,2,"3D","3D",FALSE,FALSE,1,1,1,1,"highly_stable"
"TP53_baseline_200","TP53_baseline_seed2_500","cluster_0033","cluster_0032","273;277","273;277",2,2,"1D","1D",FALSE,FALSE,1,1,1,1,"highly_stable"
"TP53_baseline_200","TP53_baseline_seed2_500","cluster_0034","cluster_0033","105;149","105;149",2,2,"3D","3D",FALSE,FALSE,1,1,1,1,"highly_stable"
"TP53_baseline_200","TP53_baseline_seed2_500","cluster_0035","cluster_0034","149;159","149;159",2,2,"1D","1D",FALSE,FALSE,1,1,1,1,"highly_stable"
"TP53_baseline_200","TP53_baseline_seed2_500","cluster_0036","cluster_0035","171;175;197;205","171;175;197;205",4,4,"1D","1D",FALSE,FALSE,1,1,1,1,"highly_stable"
"TP53_baseline_200","TP53_baseline_seed2_500","cluster_0037","cluster_0036","135;136;149;159","135;136;149;159",4,4,"1D","1D",FALSE,FALSE,1,1,1,1,"highly_stable"
"TP53_baseline_200","TP53_baseline_seed2_500","cluster_0038","cluster_0037","91;105","91;105",2,2,"1D","1D",FALSE,FALSE,1,1,1,1,"highly_stable"
"TP53_baseline_200","TP53_baseline_seed2_500","cluster_0039","cluster_0038","135;136;149;159;171;175;197;205","135;136;149;159;171;175;197;205",8,8,"1D","1D",FALSE,FALSE,1,1,1,1,"highly_stable"
"TP53_baseline_200","TP53_baseline_seed2_500","cluster_0040","cluster_0039","306;327","306;327",2,2,"1D;3D","1D;3D",FALSE,FALSE,1,1,1,1,"highly_stable"
