"protein","cluster_id","candidate_key","tree_sources","hotspot_class","significant_1d","significant_3d","significant_any","best_1d_for_size","best_3d_for_size","n_subjects","n_events","n_residues","residues","residue_min","residue_max","diameter_1d","diameter_3d","p_1d_size","p_3d_size","p_1d_protein","p_3d_protein","p_1d_joint","p_3d_joint","p_any_joint"
"TP53","cluster_0001","248","1D;3D","Weak clustering evidence",FALSE,FALSE,FALSE,TRUE,TRUE,4,4,1,"248",248,248,0,0,0.00662251655629139,0.00662251655629139,0.0728476821192053,0.119205298013245,0.152317880794702,0.152317880794702,0.152317880794702
"TP53","cluster_0002","244;245;248","1D","Weak clustering evidence",FALSE,FALSE,FALSE,TRUE,TRUE,6,7,3,"244;245;248",244,248,4,10.1224179917646,0.00662251655629139,0.00662251655629139,0.0728476821192053,0.119205298013245,0.152317880794702,0.152317880794702,0.152317880794702
"TP53","cluster_0003","239;244;245;248","1D","Weak clustering evidence",FALSE,FALSE,FALSE,TRUE,FALSE,7,8,4,"239;244;245;248",239,248,9,11.0329225049395,0.00662251655629139,0.00662251655629139,0.0728476821192053,0.119205298013245,0.152317880794702,0.152317880794702,0.152317880794702
"TP53","cluster_0004","239;244;245;248;273;277;282","1D","Weak clustering evidence",FALSE,FALSE,FALSE,TRUE,TRUE,13,14,7,"239;244;245;248;273;277;282",239,282,43,24.3327664888315,0.00662251655629139,0.00662251655629139,0.0728476821192053,0.119205298013245,0.152317880794702,0.152317880794702,0.152317880794702
"TP53","cluster_0005","91;135;136;159;171;175;197;205;239;244;245;248;273;277;282","3D","Weak clustering evidence",FALSE,FALSE,FALSE,TRUE,TRUE,19,24,15,"91;135;136;159;171;175;197;205;239;244;245;248;273;277;282",91,282,191,33.9021016752649,0.00662251655629139,0.00662251655629139,0.0728476821192053,0.119205298013245,0.152317880794702,0.152317880794702,0.152317880794702
"TP53","cluster_0006","91;105;135;136;149;159;171;175;197;205;239;244;245;248;273;277;282","3D","Weak clustering evidence",FALSE,FALSE,FALSE,TRUE,TRUE,20,26,17,"91;105;135;136;149;159;171;175;197;205;239;244;245;248;273;277;282",91,282,191,42.6209890664213,0.00662251655629139,0.00662251655629139,0.0728476821192053,0.119205298013245,0.152317880794702,0.152317880794702,0.152317880794702
"TP53","cluster_0007","273;277;282","1D","Weak clustering evidence",FALSE,FALSE,FALSE,FALSE,FALSE,6,6,3,"273;277;282",273,282,9,10.2477570716718,0.0132450331125828,0.00662251655629139,0.105960264900662,0.119205298013245,0.304635761589404,0.152317880794702,0.152317880794702
"TP53","cluster_0008","239;248;273","3D","Weak clustering evidence",FALSE,FALSE,FALSE,FALSE,TRUE,7,7,3,"239;248;273",239,273,34,9.10653507103553,0.185430463576159,0.00662251655629139,0.940397350993378,0.119205298013245,0.966887417218543,0.152317880794702,0.152317880794702
"TP53","cluster_0009","135;136;239;248;273;277;282","3D","Weak clustering evidence",FALSE,FALSE,FALSE,TRUE,TRUE,12,13,7,"135;136;239;248;273;277;282",135,282,147,15.3793277811483,0.258278145695364,0.00662251655629139,0.980132450331126,0.119205298013245,0.993377483443709,0.152317880794702,0.152317880794702
"TP53","cluster_0010","175;244;245","3D","Weak clustering evidence",FALSE,FALSE,FALSE,FALSE,TRUE,5,5,3,"175;244;245",175,245,70,7.8782067756565,0.940397350993378,0.00662251655629139,1,0.119205298013245,1,0.152317880794702,0.152317880794702
