"protein","transcript","cluster_id","analysis_type","candidate_key","tree_sources","exon_orders","transcript_exon_ranks","exon_ids","exon_order_min","exon_order_max","n_exons","n_events","n_subjects","diameter_1d","diameter_3d","p_1d_size","p_3d_size","p_1d_protein","p_3d_protein","p_1d_joint","p_3d_joint","p_any_joint","p_hotspot_omnibus","n_unique_null_1d_diameters","n_unique_null_3d_diameters","null_1d_variable","null_3d_variable","compactness_testable","compactness_testability_reason","significant_1d","significant_3d","significant_any","hotspot_class","events_per_exon","subjects_per_exon","min_events_per_exon","min_subjects_per_exon","n_events_spanning_multiple_cluster_exons","n_subjects_spanning_multiple_cluster_exons","n_subjects_with_multiple_events_in_cluster","best_supported_subcluster_key","n_events_added_vs_best_subcluster","n_subjects_added_vs_best_subcluster","branch_adds_independent_subjects","recurrence_scope_used","best_recurrent_exon_order","best_recurrent_transcript_exon_rank","best_exon_p_subjects_raw","best_exon_p_subjects_scope_omnibus","best_exon_p_subjects_across_scopes","best_exon_p_subjects_omnibus","n_testable_recurrence_exons","n_significant_recurrent_exons","integrated_evidence_class","n_events_HOMDEL","n_subjects_HOMDEL","n_events_HETDEL","n_subjects_HETDEL","n_events_GAIN","n_subjects_GAIN","n_events_ALL_CNA","n_subjects_ALL_CNA"
"PTEN","ENST00000371953","HOMDEL_cluster_0001","HOMDEL","2;5","3D","2;5","2;5","ENSE00001156330;ENSE00001156351",2,5,2,32,32,3,4.48506255785825,0.153846153846154,0.0384615384615385,0.153846153846154,0.0769230769230769,0.153846153846154,0.0769230769230769,0.0769230769230769,0.0769230769230769,3,3,TRUE,TRUE,TRUE,"",FALSE,FALSE,FALSE,"Weak clustering evidence","2:26;5:19","2:26;5:19",19,19,13,13,0,"2",6,6,TRUE,"PARTIAL_LOCALIZABLE",2,2,0.0196078431372549,0.0196078431372549,0.0392156862745098,0.0392156862745098,2,1,"Recurrent exon(s) without significant multi-exon compactness",32,32,76,73,3,3,111,97
"PTEN","ENST00000371953","HOMDEL_cluster_0002","HOMDEL","1;2;5","3D","1;2;5","1;2;5","ENSE00001156330;ENSE00001156351;ENSE00004011725",1,5,3,33,33,4,5.2305078957644,0.115384615384615,0.0384615384615385,0.153846153846154,0.0769230769230769,0.153846153846154,0.0769230769230769,0.0769230769230769,0.0769230769230769,2,2,TRUE,TRUE,TRUE,"",FALSE,FALSE,FALSE,"Weak clustering evidence","1:3;2:26;5:19","1:3;2:26;5:19",3,3,14,14,0,"2;5",1,1,TRUE,"PARTIAL_LOCALIZABLE",2,2,0.0196078431372549,0.0196078431372549,0.0392156862745098,0.0392156862745098,3,1,"Recurrent exon(s) without significant multi-exon compactness",33,33,82,77,5,4,120,102
"PTEN","ENST00000371953","HOMDEL_cluster_0003","HOMDEL","3;4","1D;3D","3;4","3;4","ENSE00001156344;ENSE00003595610",3,4,2,31,31,1,5.5594506259578,0.0384615384615385,0.115384615384615,0.0769230769230769,0.153846153846154,0.0769230769230769,0.153846153846154,0.0769230769230769,0.0769230769230769,3,3,TRUE,TRUE,TRUE,"",FALSE,FALSE,FALSE,"Weak clustering evidence","3:25;4:19","3:25;4:19",19,19,13,13,0,"3",6,6,TRUE,"PARTIAL_LOCALIZABLE",3,3,0.117647058823529,0.843137254901961,1,1,2,0,"No significant recurrence or compactness",31,31,73,71,3,3,107,95
"PTEN","ENST00000371953","HOMDEL_cluster_0004","HOMDEL","1;2;3;4","1D","1;2;3;4","1;2;3;4","ENSE00001156344;ENSE00001156351;ENSE00003595610;ENSE00004011725",1,4,4,33,33,3,15.9159444173143,0.0384615384615385,0.115384615384615,0.0769230769230769,0.153846153846154,0.0769230769230769,0.153846153846154,0.0769230769230769,0.0769230769230769,2,2,TRUE,TRUE,TRUE,"",FALSE,FALSE,FALSE,"Weak clustering evidence","1:3;2:26;3:25;4:19","1:3;2:26;3:25;4:19",3,3,25,25,0,"3;4",2,2,TRUE,"PARTIAL_LOCALIZABLE",2,2,0.0196078431372549,0.0196078431372549,0.0392156862745098,0.0392156862745098,4,1,"Recurrent exon(s) without significant multi-exon compactness",33,33,83,77,5,4,121,102
"PTEN","ENST00000371953","HOMDEL_cluster_0005","HOMDEL","1;2;3;4;5","3D","1;2;3;4;5","1;2;3;4;5","ENSE00001156330;ENSE00001156344;ENSE00001156351;ENSE00003595610;ENSE00004011725",1,5,5,33,33,4,15.9159444173143,0.115384615384615,0.115384615384615,0.153846153846154,0.153846153846154,0.153846153846154,0.153846153846154,0.153846153846154,0.153846153846154,2,2,TRUE,TRUE,TRUE,"",FALSE,FALSE,FALSE,"Weak clustering evidence","1:3;2:26;3:25;4:19;5:19","1:3;2:26;3:25;4:19;5:19",3,3,31,31,0,"1;2;3;4",0,0,FALSE,"PARTIAL_LOCALIZABLE",2,2,0.0196078431372549,0.0196078431372549,0.0392156862745098,0.0392156862745098,5,1,"Recurrent exon(s) without significant multi-exon compactness",33,33,83,77,5,4,121,102
"PTEN","ENST00000371953","HOMDEL_cluster_0006","HOMDEL","1;2","1D","1;2","1;2","ENSE00001156351;ENSE00004011725",1,2,2,27,27,1,5.09284759901451,0.230769230769231,0.192307692307692,0.230769230769231,0.461538461538462,0.538461538461538,0.461538461538462,0.461538461538462,0.461538461538462,4,6,TRUE,TRUE,TRUE,"",FALSE,FALSE,FALSE,"Weak clustering evidence","1:3;2:26","1:3;2:26",3,3,2,2,0,"2",1,1,TRUE,"PARTIAL_LOCALIZABLE",2,2,0.0196078431372549,0.0196078431372549,0.0392156862745098,0.0392156862745098,2,1,"Recurrent exon(s) without significant multi-exon compactness",27,27,62,61,3,2,92,89
"PTEN","ENST00000371953","HOMDEL_cluster_0007","HOMDEL","7;8","1D;3D","7;8","7;8","ENSE00001156315;ENSE00003725338",7,8,2,14,14,1,4.50447228016122,0.461538461538462,0.461538461538462,1,0.961538461538462,1,1,1,1,2,2,TRUE,TRUE,TRUE,"",FALSE,FALSE,FALSE,"Weak clustering evidence","7:14;8:14","7:14;8:14",14,14,14,14,0,"7",0,0,FALSE,"PARTIAL_LOCALIZABLE",8,8,0.607843137254902,1,1,1,2,0,"No significant recurrence or compactness",14,14,41,41,4,4,59,59
"PTEN","ENST00000371953","HOMDEL_cluster_0008","HOMDEL","6;9","3D","6;9","6;9","ENSE00001156327;ENSE00001456541",6,9,2,15,15,3,4.77930080439185,0.461538461538462,0.423076923076923,1,0.961538461538462,1,1,1,1,3,3,TRUE,TRUE,TRUE,"",FALSE,FALSE,FALSE,"Weak clustering evidence","6:14;9:15","6:14;9:15",14,14,14,14,0,"9",0,0,FALSE,"PARTIAL_LOCALIZABLE",9,9,0.0196078431372549,0.0196078431372549,0.0392156862745098,0.0392156862745098,2,1,"Recurrent exon(s) without significant multi-exon compactness",15,15,43,43,3,3,61,60
"PTEN","ENST00000371953","HOMDEL_cluster_0009","HOMDEL","5;6","1D","5;6","5;6","ENSE00001156327;ENSE00001156330",5,6,2,20,19,1,5.15928912557371,0.730769230769231,0.730769230769231,1,1,1,1,1,1,4,4,TRUE,TRUE,TRUE,"",FALSE,FALSE,FALSE,"Weak clustering evidence","5:19;6:14","5:19;6:14",14,14,13,13,1,"5",1,0,FALSE,"PARTIAL_LOCALIZABLE",5,5,0.901960784313726,1,1,1,2,0,"No significant recurrence or compactness",20,19,61,60,4,4,85,79
"PTEN","ENST00000371953","HOMDEL_cluster_0010","HOMDEL","6;7;8;9","3D","6;7;8;9","6;7;8;9","ENSE00001156315;ENSE00001156327;ENSE00001456541;ENSE00003725338",6,9,4,15,15,3,8.87616612257633,0.461538461538462,0.461538461538462,1,0.961538461538462,1,1,1,1,3,3,TRUE,TRUE,TRUE,"",FALSE,FALSE,FALSE,"Weak clustering evidence","6:14;7:14;8:14;9:15","6:14;7:14;8:14;9:15",14,14,14,14,0,"7;8;9",0,0,FALSE,"PARTIAL_LOCALIZABLE",9,9,0.0196078431372549,0.0196078431372549,0.0392156862745098,0.0392156862745098,4,1,"Recurrent exon(s) without significant multi-exon compactness",15,15,43,43,4,4,62,61
