"linkage_method","cluster_id","candidate_key","tree_sources","hotspot_class","significant_1d","significant_3d","significant_any","best_1d_for_size","best_3d_for_size","n_subjects","n_events","n_residues","residues","residue_min","residue_max","diameter_1d","diameter_3d","p_1d_joint","p_3d_joint","p_any_joint","p_1d_size","p_3d_size","methods_detected_count","methods_detected","methods_significant_any_count","methods_significant_any","stability_category"
"complete","cluster_0001","248","1D;3D","Sequence-local hotspot also compact in structure",TRUE,TRUE,TRUE,TRUE,TRUE,4,4,1,"248",248,248,0,0,0.0259481037924152,0.0259481037924152,0.0259481037924152,0.00199600798403194,0.00199600798403194,4,"complete;average;single;ward.D2",4,"complete;average;single;ward.D2","Consensus (all 4 methods)"
"complete","cluster_0002","239;244;245;248","1D","Sequence-local hotspot also compact in structure",TRUE,TRUE,TRUE,TRUE,FALSE,7,8,4,"239;244;245;248",239,248,9,11.0329225049395,0.0259481037924152,0.0259481037924152,0.0259481037924152,0.00199600798403194,0.00199600798403194,4,"complete;average;single;ward.D2",4,"complete;average;single;ward.D2","Consensus (all 4 methods)"
"complete","cluster_0003","239;244;245;248;273;277;282","1D","Sequence-local hotspot also compact in structure",TRUE,TRUE,TRUE,TRUE,TRUE,13,14,7,"239;244;245;248;273;277;282",239,282,43,24.3327664888315,0.0259481037924152,0.0259481037924152,0.0259481037924152,0.00199600798403194,0.00199600798403194,2,"complete;average",2,"complete;average","Supported (2-3 methods)"
"complete","cluster_0004","91;135;136;159;171;175;197;205;239;244;245;248;273;277;282","3D","Nonlocal, 3D-specific hotspot",FALSE,TRUE,TRUE,TRUE,TRUE,19,24,15,"91;135;136;159;171;175;197;205;239;244;245;248;273;277;282",91,282,191,33.9021016752649,0.155688622754491,0.0259481037924152,0.0259481037924152,0.00998003992015968,0.00199600798403194,3,"complete;average;single",3,"complete;average;single","Supported (2-3 methods)"
"complete","cluster_0005","239;248;273","3D","Nonlocal, 3D-specific hotspot",FALSE,TRUE,TRUE,FALSE,TRUE,7,7,3,"239;248;273",239,273,34,9.10653507103553,0.950099800399202,0.0259481037924152,0.0259481037924152,0.157684630738523,0.00199600798403194,2,"complete;ward.D2",2,"complete;ward.D2","Supported (2-3 methods)"
"complete","cluster_0006","135;136;239;248;273;277;282","3D","Nonlocal, 3D-specific hotspot",FALSE,TRUE,TRUE,TRUE,TRUE,12,13,7,"135;136;239;248;273;277;282",135,282,147,15.3793277811483,0.996007984031936,0.0259481037924152,0.0259481037924152,0.233532934131737,0.00199600798403194,2,"complete;ward.D2",2,"complete;ward.D2","Supported (2-3 methods)"
"complete","cluster_0007","91;171;175;244;245","3D","Nonlocal, 3D-specific hotspot",FALSE,TRUE,TRUE,TRUE,TRUE,8,8,5,"91;171;175;244;245",91,245,154,13.9722246260214,1,0.0259481037924152,0.0259481037924152,0.710578842315369,0.00199600798403194,2,"complete;ward.D2",2,"complete;ward.D2","Supported (2-3 methods)"
"complete","cluster_0008","244;245;248","1D","Linear hotspot without independent 3D enrichment",TRUE,FALSE,TRUE,TRUE,TRUE,6,7,3,"244;245;248",244,248,4,10.1224179917646,0.0259481037924152,0.0858283433133733,0.0259481037924152,0.00199600798403194,0.00598802395209581,4,"complete;average;single;ward.D2",4,"complete;average;single;ward.D2","Consensus (all 4 methods)"
"complete","cluster_0009","72;91;105;135;136;149;159;171;175;197;205;239;244;245;248;273;277;282","3D","Linear hotspot without independent 3D enrichment",TRUE,FALSE,TRUE,TRUE,TRUE,22,28,18,"72;91;105;135;136;149;159;171;175;197;205;239;244;245;248;273;277;282",72,282,210,73.4290371310968,0.0259481037924152,0.155688622754491,0.0259481037924152,0.00199600798403194,0.00998003992015968,2,"complete;ward.D2",2,"complete;ward.D2","Supported (2-3 methods)"
"complete","cluster_0010","239;244;245;248;273;277;282;306;327","1D","Linear hotspot without independent 3D enrichment",TRUE,FALSE,TRUE,TRUE,TRUE,15,16,9,"239;244;245;248;273;277;282;306;327",239,327,88,64.744755053981,0.0259481037924152,0.992015968063872,0.0259481037924152,0.00199600798403194,0.223552894211577,4,"complete;average;single;ward.D2",4,"complete;average;single;ward.D2","Consensus (all 4 methods)"
"complete","cluster_0011","72;91;105;135;136;149;159;171;175;197;205;239;244;245;248;273;277;282;306;327","1D;3D","Linear hotspot without independent 3D enrichment",TRUE,FALSE,TRUE,TRUE,TRUE,23,30,20,"72;91;105;135;136;149;159;171;175;197;205;239;244;245;248;273;277;282;306;327",72,327,255,118.969142553857,0.0259481037924152,1,0.0259481037924152,0.00199600798403194,0.734530938123752,4,"complete;average;single;ward.D2",4,"complete;average;single;ward.D2","Consensus (all 4 methods)"
"complete","cluster_0012","91;105;135;136;149;159;171;175;197;205;239;244;245;248;273;277;282","3D","Weak clustering evidence",FALSE,FALSE,FALSE,TRUE,TRUE,20,26,17,"91;105;135;136;149;159;171;175;197;205;239;244;245;248;273;277;282",91,282,191,42.6209890664213,0.0858283433133733,0.0598802395209581,0.0598802395209581,0.00598802395209581,0.00399201596806387,4,"complete;average;single;ward.D2",0,"","Consensus (all 4 methods)"
"complete","cluster_0013","273;277;282","1D","Weak clustering evidence",FALSE,FALSE,FALSE,FALSE,FALSE,6,6,3,"273;277;282",273,282,9,10.2477570716718,0.207584830339321,0.0858283433133733,0.0858283433133733,0.0139720558882236,0.00598802395209581,4,"complete;average;single;ward.D2",0,"","Consensus (all 4 methods)"
"complete","cluster_0014","175;244;245","3D","Weak clustering evidence",FALSE,FALSE,FALSE,FALSE,TRUE,5,5,3,"175;244;245",175,245,70,7.8782067756565,1,0.12375249500998,0.12375249500998,0.956087824351297,0.00798403193612774,4,"complete;average;single;ward.D2",0,"","Consensus (all 4 methods)"
"complete","cluster_0015","135;136;277;282","3D","Weak clustering evidence",FALSE,FALSE,FALSE,FALSE,FALSE,6,6,4,"135;136;277;282",135,282,147,12.1192066572033,1,0.155688622754491,0.155688622754491,0.894211576846307,0.00998003992015968,2,"complete;ward.D2",0,"","Supported (2-3 methods)"
"complete","cluster_0016","282","1D;3D","Weak clustering evidence",FALSE,FALSE,FALSE,TRUE,TRUE,3,3,1,"282",282,282,0,0,0.550898203592814,0.550898203592814,0.550898203592814,0.0479041916167665,0.0479041916167665,4,"complete;average;single;ward.D2",0,"","Consensus (all 4 methods)"
"complete","cluster_0017","91;159;171;175;197;205;244;245","3D","Weak clustering evidence",FALSE,FALSE,FALSE,TRUE,TRUE,9,11,8,"91;159;171;175;197;205;244;245",91,245,154,24.7782421894694,1,0.586826347305389,0.586826347305389,0.570858283433134,0.0518962075848303,1,"complete",0,"","Method-specific (1 method)"
"complete","cluster_0018","171;175","1D","Weak clustering evidence",FALSE,FALSE,FALSE,FALSE,FALSE,4,4,2,"171;175",171,175,4,12.5950240968408,0.830339321357285,1,0.830339321357285,0.093812375249501,0.427145708582834,4,"complete;average;single;ward.D2",0,"","Consensus (all 4 methods)"
"complete","cluster_0019","244;245","1D;3D","Weak clustering evidence",FALSE,FALSE,FALSE,FALSE,FALSE,3,3,2,"244;245",244,245,1,3.87020232029283,0.976047904191617,0.964071856287425,0.964071856287425,0.187624750499002,0.173652694610778,4,"complete;average;single;ward.D2",0,"","Consensus (all 4 methods)"
"complete","cluster_0020","72;91;105;135;136;149;159;171;175;197;205","1D","Weak clustering evidence",FALSE,FALSE,FALSE,TRUE,TRUE,11,14,11,"72;91;105;135;136;149;159;171;175;197;205",72,205,133,68.4879897646295,0.998003992015968,1,0.998003992015968,0.259481037924152,0.397205588822355,4,"complete;average;single;ward.D2",0,"","Consensus (all 4 methods)"
"complete","cluster_0021","171","1D;3D","Weak clustering evidence",FALSE,FALSE,FALSE,TRUE,TRUE,2,2,1,"171",171,171,0,0,1,1,1,0.654690618762475,0.654690618762475,4,"complete;average;single;ward.D2",0,"","Consensus (all 4 methods)"
"complete","cluster_0022","175","1D;3D","Weak clustering evidence",FALSE,FALSE,FALSE,TRUE,TRUE,2,2,1,"175",175,175,0,0,1,1,1,0.654690618762475,0.654690618762475,4,"complete;average;single;ward.D2",0,"","Consensus (all 4 methods)"
