"gene","plddt","mapped_frac","mapped_res","temperature","mixture","min_eff","min_alt_p","eligible_exons","n_exons","localizable_events","median_eff","min_eff_obs","n_testable","frac_testable"
"PTEN",70,0.25,1,0.5,0.25,1.25,0.05,8,9,74,5.203,1,73,0.986
"PTEN",70,0.25,3,0.5,0.25,1.25,0.05,8,9,74,5.203,1,73,0.986
"PTEN",70,0.25,5,0.5,0.25,1.25,0.05,8,9,74,5.203,1,73,0.986
"PTEN",70,0.5,1,0.5,0.25,1.25,0.05,8,9,74,5.203,1,73,0.986
"PTEN",70,0.5,3,0.5,0.25,1.25,0.05,8,9,74,5.203,1,73,0.986
"PTEN",70,0.5,5,0.5,0.25,1.25,0.05,8,9,74,5.203,1,73,0.986
"PTEN",70,0.75,1,0.5,0.25,1.25,0.05,7,9,73,4.698,2.927,73,1
"PTEN",70,0.75,3,0.5,0.25,1.25,0.05,7,9,73,4.698,2.927,73,1
"PTEN",70,0.75,5,0.5,0.25,1.25,0.05,7,9,73,4.698,2.927,73,1
"PTEN",70,0.5,1,0.25,0.25,1.25,0.05,8,9,74,3.585,1,73,0.986
"PTEN",70,0.5,1,0.25,0.5,1.25,0.05,8,9,74,4.846,1,73,0.986
"PTEN",70,0.5,1,0.25,0.75,1.25,0.05,8,9,74,6.3,1,73,0.986
"PTEN",70,0.5,1,0.25,1,1.25,0.05,8,9,74,7,1,73,0.986
"PTEN",70,0.5,1,0.5,0.25,1.25,0.05,8,9,74,5.203,1,73,0.986
"PTEN",70,0.5,1,0.5,0.5,1.25,0.05,8,9,74,6.068,1,73,0.986
"PTEN",70,0.5,1,0.5,0.75,1.25,0.05,8,9,74,6.741,1,73,0.986
"PTEN",70,0.5,1,0.5,1,1.25,0.05,8,9,74,7,1,73,0.986
"PTEN",70,0.5,1,1,0.25,1.25,0.05,8,9,74,6.404,1,73,0.986
"PTEN",70,0.5,1,1,0.5,1.25,0.05,8,9,74,6.722,1,73,0.986
"PTEN",70,0.5,1,1,0.75,1.25,0.05,8,9,74,6.928,1,73,0.986
"PTEN",70,0.5,1,1,1,1.25,0.05,8,9,74,7,1,73,0.986
"PTEN",70,0.5,1,4,0.25,1.25,0.05,8,9,74,6.96,1,73,0.986
"PTEN",70,0.5,1,4,0.5,1.25,0.05,8,9,74,6.982,1,73,0.986
"PTEN",70,0.5,1,4,0.75,1.25,0.05,8,9,74,6.996,1,73,0.986
"PTEN",70,0.5,1,4,1,1.25,0.05,8,9,74,7,1,73,0.986
"PTEN",70,0.5,1,0.5,0.25,1.25,0.05,8,9,74,5.203,1,73,0.986
"PTEN",70,0.5,1,0.5,0.25,1.5,0.05,8,9,74,5.203,1,73,0.986
"PTEN",70,0.5,1,0.5,0.25,2,0.05,8,9,74,5.203,1,73,0.986
"PTEN",70,0.5,1,0.5,0.25,3,0.05,8,9,74,5.203,1,73,0.986
"CDKN2A",70,0.25,1,0.5,0.25,1.25,0.05,2,3,39,1.646,1,30,0.769
"CDKN2A",70,0.25,3,0.5,0.25,1.25,0.05,2,3,39,1.646,1,30,0.769
"CDKN2A",70,0.25,5,0.5,0.25,1.25,0.05,2,3,39,1.646,1,30,0.769
