"gene","min.plddt","min.exon.coding.overlap","min.eligible.exon.fraction","min.exon.mapped.fraction","n_eligible_exons","n_events_overlapping_cds","n_events_testable","n_subjects_testable","fraction_events_testable","median_affected_exons_testable"
"PTEN",0,0,1,0.5,9,174,130,104,0.747126436781609,4
"PTEN",50,0,1,0.5,8,174,73,68,0.419540229885057,2
"PTEN",70,0,1,0.5,8,174,73,68,0.419540229885057,2
"PTEN",90,0,1,0.5,7,174,51,47,0.293103448275862,2
"PTEN",0,0.1,1,0.5,9,174,130,104,0.747126436781609,4
"PTEN",50,0.1,1,0.5,8,174,73,68,0.419540229885057,2
"PTEN",70,0.1,1,0.5,8,174,73,68,0.419540229885057,2
"PTEN",90,0.1,1,0.5,7,174,51,47,0.293103448275862,2
"PTEN",0,0.5,1,0.5,9,174,130,104,0.747126436781609,4
"PTEN",50,0.5,1,0.5,8,174,73,68,0.419540229885057,2
"PTEN",70,0.5,1,0.5,8,174,73,68,0.419540229885057,2
"PTEN",90,0.5,1,0.5,7,174,51,47,0.293103448275862,2
"PTEN",0,0,0.8,0.5,9,174,130,104,0.747126436781609,4
"PTEN",50,0,0.8,0.5,8,174,122,103,0.701149425287356,4
"PTEN",70,0,0.8,0.5,8,174,122,103,0.701149425287356,4
"PTEN",90,0,0.8,0.5,7,174,104,93,0.597701149425287,5
"PTEN",0,0.1,0.8,0.5,9,174,130,104,0.747126436781609,4
"PTEN",50,0.1,0.8,0.5,8,174,122,103,0.701149425287356,4
"PTEN",70,0.1,0.8,0.5,8,174,122,103,0.701149425287356,4
"PTEN",90,0.1,0.8,0.5,7,174,104,93,0.597701149425287,5
"PTEN",0,0.5,0.8,0.5,9,174,130,104,0.747126436781609,4
"PTEN",50,0.5,0.8,0.5,8,174,122,103,0.701149425287356,4
"PTEN",70,0.5,0.8,0.5,8,174,122,103,0.701149425287356,4
"PTEN",90,0.5,0.8,0.5,7,174,104,93,0.597701149425287,5
"CDKN2A",0,0,1,0.5,3,911,72,46,0.0790340285400659,1
"CDKN2A",50,0,1,0.5,3,911,72,46,0.0790340285400659,1
"CDKN2A",70,0,1,0.5,2,911,30,29,0.0329308452250274,1
"CDKN2A",90,0,1,0.5,0,911,0,0,0,
"CDKN2A",0,0.1,1,0.5,3,911,72,46,0.0790340285400659,1
"CDKN2A",50,0.1,1,0.5,3,911,72,46,0.0790340285400659,1
"CDKN2A",70,0.1,1,0.5,2,911,30,29,0.0329308452250274,1
"CDKN2A",90,0.1,1,0.5,0,911,0,0,0,
"CDKN2A",0,0.5,1,0.5,3,911,72,46,0.0790340285400659,1
"CDKN2A",50,0.5,1,0.5,3,911,72,46,0.0790340285400659,1
"CDKN2A",70,0.5,1,0.5,2,911,30,29,0.0329308452250274,1
"CDKN2A",90,0.5,1,0.5,0,911,0,0,0,
"CDKN2A",0,0,0.8,0.5,3,911,72,46,0.0790340285400659,1
"CDKN2A",50,0,0.8,0.5,3,911,72,46,0.0790340285400659,1
"CDKN2A",70,0,0.8,0.5,2,911,30,29,0.0329308452250274,1
"CDKN2A",90,0,0.8,0.5,0,911,0,0,0,
"CDKN2A",0,0.1,0.8,0.5,3,911,72,46,0.0790340285400659,1
"CDKN2A",50,0.1,0.8,0.5,3,911,72,46,0.0790340285400659,1
"CDKN2A",70,0.1,0.8,0.5,2,911,30,29,0.0329308452250274,1
"CDKN2A",90,0.1,0.8,0.5,0,911,0,0,0,
"CDKN2A",0,0.5,0.8,0.5,3,911,72,46,0.0790340285400659,1
"CDKN2A",50,0.5,0.8,0.5,3,911,72,46,0.0790340285400659,1
"CDKN2A",70,0.5,0.8,0.5,2,911,30,29,0.0329308452250274,1
"CDKN2A",90,0.5,0.8,0.5,0,911,0,0,0,
