"feature_id","protein","uniprot_accession","source","source_record_id","evidence_scope","evidence_code","publication_id_type","publication_id","pubmed_id","doi","title","journal","year","authors","publication_url"
"UniProtKB:Q969H0:57edc603","FBXW7","Q969H0","UniProtKB","Q969H0","feature_evidence","ECO:0000255","PROSITE-ProRule","PRU00080","","","","","","",""
"UniProtKB:Q969H0:2fea1d6c","FBXW7","Q969H0","UniProtKB","Q969H0","feature_evidence","ECO:0000256","SAM","MobiDB-lite","","","","","","",""
"UniProtKB:Q969H0:73e8666a","FBXW7","Q969H0","UniProtKB","Q969H0","feature_evidence","ECO:0000256","SAM","MobiDB-lite","","","","","","",""
"UniProtKB:Q969H0:74f7ea9d","FBXW7","Q969H0","UniProtKB","Q969H0","feature_evidence","ECO:0000256","SAM","MobiDB-lite","","","","","","",""
"UniProtKB:Q969H0:0595ef73","FBXW7","Q969H0","UniProtKB","Q969H0","feature_evidence","ECO:0000256","SAM","MobiDB-lite","","","","","","",""
"UniProtKB:Q969H0:4c2fcaaa","FBXW7","Q969H0","UniProtKB","Q969H0","feature_evidence","ECO:0000256","SAM","MobiDB-lite","","","","","","",""
"UniProtKB:Q969H0:4d0ee06b","FBXW7","Q969H0","UniProtKB","Q969H0","feature_evidence","ECO:0000269","PubMed","26774286","26774286","10.1016/j.molcel.2015.12.010","FBXW7 facilitates nonhomologous end-joining via K63-linked polyubiquitylation of XRCC4.","Mol. Cell","2016","Zhang Q.;Karnak D.;Tan M.;Lawrence T.S.;Morgan M.A.;Sun Y.","https://pubmed.ncbi.nlm.nih.gov/26774286/"
"UniProtKB:Q969H0:448e0188","FBXW7","Q969H0","UniProtKB","Q969H0","feature_evidence","ECO:0000269","PubMed","22608923","22608923","10.1016/j.molcel.2012.04.012","Negative regulation of the stability and tumor suppressor function of Fbw7 by the Pin1 prolyl isomerase.","Mol. Cell","2012","Min S.H.;Lau A.W.;Lee T.H.;Inuzuka H.;Wei S.;Huang P.;Shaik S.;Lee D.Y.;Finn G.;Balastik M.;Chen C.H.;Luo M.;Tron A.E.;Decaprio J.A.;Zhou X.Z.;Wei W.;Lu K.P.","https://pubmed.ncbi.nlm.nih.gov/22608923/"
"UniProtKB:Q969H0:5e22ab41","FBXW7","Q969H0","UniProtKB","Q969H0","feature_evidence","ECO:0000269","PubMed","21147854","21147854","10.1242/jcs.073924","Serum- and glucocorticoid-inducible kinase 1 (SGK1) controls Notch1 signaling by downregulation of protein stability through Fbw7 ubiquitin ligase.","J. Cell Sci.","2011","Mo J.S.;Ann E.J.;Yoon J.H.;Jung J.;Choi Y.H.;Kim H.Y.;Ahn J.S.;Kim S.M.;Kim M.Y.;Hong J.A.;Seo M.S.;Lang F.;Choi E.J.;Park H.S.","https://pubmed.ncbi.nlm.nih.gov/21147854/"
"InterPro:IPR001680:1:7c228b1e","FBXW7","Q969H0","InterPro","IPR001680","entry_literature","InterPro_entry_literature","PubMed","11814058","11814058","10.1007/PL00000838","WD-repeat proteins: structure characteristics, biological function, and their involvement in human diseases.","Cell. Mol. Life Sci.","2001","Li D;Roberts R.","https://pubmed.ncbi.nlm.nih.gov/11814058/"
"InterPro:IPR001680:1:7c228b1e","FBXW7","Q969H0","InterPro","IPR001680","entry_literature","InterPro_entry_literature","PubMed","10322433","10322433","10.1016/S0968-0004(99)01384-5","The WD repeat: a common architecture for diverse functions.","Trends Biochem. Sci.","1999","Smith TF;Gaitatzes C;Saxena K;Neer EJ.","https://pubmed.ncbi.nlm.nih.gov/10322433/"
"InterPro:IPR001680:1:7c228b1e","FBXW7","Q969H0","InterPro","IPR001680","entry_literature","InterPro_entry_literature","PubMed","30069656","30069656","","WD40 Repeat Proteins: Signalling Scaffold with Diverse Functions.","Protein J.","2018","Jain BP;Pandey S.","https://pubmed.ncbi.nlm.nih.gov/30069656/"
"InterPro:IPR001810:1:3165702f","FBXW7","Q969H0","InterPro","IPR001810","entry_literature","InterPro_entry_literature","PubMed","9346238","9346238","10.1016/S0092-8674(00)80403-1","F-box proteins are receptors that recruit phosphorylated substrates to the SCF ubiquitin-ligase complex.","Cell","1997","Skowyra D;Craig KL;Tyers M;Elledge SJ;Harper JW.","https://pubmed.ncbi.nlm.nih.gov/9346238/"
"InterPro:IPR001810:1:3165702f","FBXW7","Q969H0","InterPro","IPR001810","entry_literature","InterPro_entry_literature","PubMed","10581972","10581972","10.1016/S0079-6107(99)00010-3","The F-box: a new motif for ubiquitin dependent proteolysis in cell cycle regulation and signal transduction.","Prog. Biophys. Mol. Biol.","1999","Craig KL;Tyers M.","https://pubmed.ncbi.nlm.nih.gov/10581972/"
"InterPro:IPR001810:1:3165702f","FBXW7","Q969H0","InterPro","IPR001810","entry_literature","InterPro_entry_literature","PubMed","8706131","8706131","10.1016/S0092-8674(00)80098-7","SKP1 connects cell cycle regulators to the ubiquitin proteolysis machinery through a novel motif, the F-box.","Cell","1996","Bai C;Sen P;Hofmann K;Ma L;Goebl M;Harper JW;Elledge SJ.","https://pubmed.ncbi.nlm.nih.gov/8706131/"
"InterPro:IPR001810:1:3165702f","FBXW7","Q969H0","InterPro","IPR001810","entry_literature","InterPro_entry_literature","PubMed","9529603","9529603","10.1016/S0959-437X(98)80059-2","Proteolysis and the G1-S transition: the SCF connection.","Curr. Opin. Genet. Dev.","1998","Krek W.","https://pubmed.ncbi.nlm.nih.gov/9529603/"
"InterPro:IPR015943:1:6a94d4d3","FBXW7","Q969H0","InterPro","IPR015943","entry_literature","InterPro_entry_literature","PubMed","12925784","12925784","10.1107/S090744490301429X","Structure of the phenylhydrazine adduct of the quinohemoprotein amine dehydrogenase from Paracoccus denitrificans at 1.7 A resolution.","Acta Crystallogr. D Biol. Crystallogr.","2003","Datta S;Ikeda T;Kano K;Mathews FS.","https://pubmed.ncbi.nlm.nih.gov/12925784/"
"InterPro:IPR015943:1:6a94d4d3","FBXW7","Q969H0","InterPro","IPR015943","entry_literature","InterPro_entry_literature","PubMed","10360181","10360181","10.1016/S1097-2765(00)80358-5","A molecular mechanism for the phosphorylation-dependent regulation of heterotrimeric G proteins by phosducin.","Mol. Cell","1999","Gaudet R;Savage JR;McLaughlin JN;Willardson BM;Sigler PB.","https://pubmed.ncbi.nlm.nih.gov/10360181/"
"InterPro:IPR015943:1:6a94d4d3","FBXW7","Q969H0","InterPro","IPR015943","entry_literature","InterPro_entry_literature","PubMed","10856245","10856245","10.1093/emboj/19.12.3016","Structure of the C-terminal domain of Tup1, a corepressor of transcription in yeast.","EMBO J.","2000","Sprague ER;Redd MJ;Johnson AD;Wolberger C.","https://pubmed.ncbi.nlm.nih.gov/10856245/"
"InterPro:IPR015943:1:6a94d4d3","FBXW7","Q969H0","InterPro","IPR015943","entry_literature","InterPro_entry_literature","PubMed","12057191","12057191","10.1016/S0969-2126(02)00768-2","Crystal structure of the C-terminal WD40 repeat domain of the human Groucho/TLE1 transcriptional corepressor.","Structure","2002","Pickles LM;Roe SM;Hemingway EJ;Stifani S;Pearl LH.","https://pubmed.ncbi.nlm.nih.gov/12057191/"
"InterPro:IPR015943:1:6a94d4d3","FBXW7","Q969H0","InterPro","IPR015943","entry_literature","InterPro_entry_literature","PubMed","12553912","12553912","10.1016/S0092-8674(03)00034-5","Structural basis for phosphodependent substrate selection and orientation by the SCFCdc4 ubiquitin ligase.","Cell","2003","Orlicky S;Tang X;Willems A;Tyers M;Sicheri F.","https://pubmed.ncbi.nlm.nih.gov/12553912/"
