"feature_id","protein","uniprot_accession","source","source_record_id","annotation_class","feature_category","feature_subcategory","classification_rule","feature_type","feature_name","description","start","end","feature_segments","start_modifier","end_modifier","evidence_codes","evidence_sources","evidence_ids","cross_references","go_terms","source_url","source_record_version","source_annotation_date","retrieved_at_utc"
"UniProtKB:Q969H0:2fea1d6c","FBXW7","Q969H0","UniProtKB","Q969H0","structural_region","disorder","intrinsically_disordered_region","grin3d_annotation_hierarchy_v1:intrinsically_disordered_region","Region","Disordered","Disordered",1,151,"1-151","EXACT","EXACT","ECO:0000256","SAM","MobiDB-lite","","","https://www.uniprot.org/uniprotkb/Q969H0/entry","214","2026-09-02","2026-09-17T05:08:14Z"
"UniProtKB:Q969H0:4d0ee06b","FBXW7","Q969H0","UniProtKB","Q969H0","modification","ptm","phosphorylation","grin3d_annotation_hierarchy_v1:phosphorylation","Modified residue","Phosphoserine; by ATM","Phosphoserine; by ATM",26,26,"26-26","EXACT","EXACT","ECO:0000269","PubMed","26774286","","","https://www.uniprot.org/uniprotkb/Q969H0/entry","214","2026-09-02","2026-09-17T05:08:14Z"
"UniProtKB:Q969H0:73e8666a","FBXW7","Q969H0","UniProtKB","Q969H0","functional_region","functional_region","compositional_bias","grin3d_annotation_hierarchy_v1:compositional_bias","Compositional bias","Low complexity","Low complexity",57,68,"57-68","EXACT","EXACT","ECO:0000256","SAM","MobiDB-lite","","","https://www.uniprot.org/uniprotkb/Q969H0/entry","214","2026-09-02","2026-09-17T05:08:14Z"
"UniProtKB:Q969H0:74f7ea9d","FBXW7","Q969H0","UniProtKB","Q969H0","functional_region","functional_region","compositional_bias","grin3d_annotation_hierarchy_v1:compositional_bias","Compositional bias","Polar residues","Polar residues",69,84,"69-84","EXACT","EXACT","ECO:0000256","SAM","MobiDB-lite","","","https://www.uniprot.org/uniprotkb/Q969H0/entry","214","2026-09-02","2026-09-17T05:08:14Z"
"UniProtKB:Q969H0:0595ef73","FBXW7","Q969H0","UniProtKB","Q969H0","functional_region","functional_region","compositional_bias","grin3d_annotation_hierarchy_v1:compositional_bias","Compositional bias","Acidic residues","Acidic residues",87,129,"87-129","EXACT","EXACT","ECO:0000256","SAM","MobiDB-lite","","","https://www.uniprot.org/uniprotkb/Q969H0/entry","214","2026-09-02","2026-09-17T05:08:14Z"
"UniProtKB:Q969H0:4c2fcaaa","FBXW7","Q969H0","UniProtKB","Q969H0","functional_region","functional_region","compositional_bias","grin3d_annotation_hierarchy_v1:compositional_bias","Compositional bias","Basic and acidic residues","Basic and acidic residues",130,139,"130-139","EXACT","EXACT","ECO:0000256","SAM","MobiDB-lite","","","https://www.uniprot.org/uniprotkb/Q969H0/entry","214","2026-09-02","2026-09-17T05:08:14Z"
"UniProtKB:Q969H0:448e0188","FBXW7","Q969H0","UniProtKB","Q969H0","modification","ptm","phosphorylation","grin3d_annotation_hierarchy_v1:phosphorylation","Modified residue","Phosphothreonine","Phosphothreonine",205,205,"205-205","EXACT","EXACT","ECO:0000269","PubMed","22608923","","","https://www.uniprot.org/uniprotkb/Q969H0/entry","214","2026-09-02","2026-09-17T05:08:14Z"
"UniProtKB:Q969H0:5e22ab41","FBXW7","Q969H0","UniProtKB","Q969H0","modification","ptm","phosphorylation","grin3d_annotation_hierarchy_v1:phosphorylation","Modified residue","Phosphoserine; by SGK1","Phosphoserine; by SGK1",227,227,"227-227","EXACT","EXACT","ECO:0000269","PubMed","21147854","","","https://www.uniprot.org/uniprotkb/Q969H0/entry","214","2026-09-02","2026-09-17T05:08:14Z"
"InterPro:IPR036047:1:6faa4d6e","FBXW7","Q969H0","InterPro","IPR036047","domain","domain","homologous_superfamily","grin3d_annotation_hierarchy_v1:homologous_superfamily","homologous_superfamily","F-box-like domain superfamily","First identified in cyclin-F as a protein-protein interaction motif, the F-box is a conserved domain that is present in numerous proteins with a bipartite structure [[cite:PUB00000938]]. Through the F-box, these proteins are linked to the Skp1 protein and the core of SCFs (Skp1-cullin-F-box protein ligase) complexes. SCFs complexes constitute a new class of E3 ligases [[cite:PUB00000952]]. They function in combination with the E2 enzyme Cdc34 to ubiquitinate G1 cyclins, Cdk inhibitors and many other proteins, to mark them for degradation. The binding of the specific substrates by SCFs complexes is mediated by divergent protein-protein interaction motifs present in F-box proteins, like WD40 repeats, leucine rich repeats [[cite:PUB00018180], [cite:PUB00018181]] or ANK repeats.",264,363,"264-363","EXACT","EXACT","database_signature_match","InterPro","IPR036047","ssf:SSF81383","GO:0005515","https://www.ebi.ac.uk/interpro/entry/InterPro/IPR036047/","","","2026-09-17T05:08:16Z"
"PDBe-KB:ligand:172838af","FBXW7","Q969H0","PDBe-KB/SIFTS","SO4","site","binding_site","small_molecule_binding_site","pdbe_kb_sifts_v1:small_molecule_binding_site","experimental ligand contact","Contact with SULFATE ION (SO4)","UniProt-indexed protein residues contacting a non-solvent ligand in a PDB structure.",266,680,"266-266;285-285;286-286;357-357;378-378;379-379;380-380;388-388;392-392;393-393;399-399;407-407;409-409;410-410;415-415;416-416;422-422;423-423;425-425;428-428;439-439;441-441;462-462;463-463;479-479;505-505;590-590;591-591;620-620;655-655;656-656;674-674;676-676;679-679;680-680","EXACT","EXACT","experimental_structure_contact","PDBe-KB;PDB;SIFTS","2OVQ;2OVR;5V4B;7T1Y;7T1Z","PDB-CCD:SO4","","https://www.ebi.ac.uk/pdbe/pdbe-kb/proteins/Q969H0","","","2026-09-17T05:08:24Z"
