"annotation_class","feature_category","feature_subcategory","classification_rule","n_features","sources","source_feature_types"
"domain","domain","homologous_superfamily","grin3d_annotation_hierarchy_v1:homologous_superfamily",3,"InterPro","homologous_superfamily"
"domain","domain","protein_domain","grin3d_annotation_hierarchy_v1:protein_domain",3,"InterPro;UniProtKB","domain;Domain"
"functional_region","functional_region","compositional_bias","grin3d_annotation_hierarchy_v1:compositional_bias",4,"UniProtKB","Compositional bias"
"functional_region","functional_region","repeat_region","grin3d_annotation_hierarchy_v1:repeat_region",11,"InterPro;UniProtKB","repeat;Repeat"
"interaction","interaction_interface","macromolecular_interface","pdbe_kb_sifts_v1:macromolecular_interface",1,"PDBe-KB/SIFTS","experimental interface"
"interaction","interaction_interface","protein_protein_interface","pdbe_kb_sifts_v1:protein_protein_interface",4,"PDBe-KB/SIFTS","experimental interface"
"modification","ptm","phosphorylation","grin3d_annotation_hierarchy_v1:phosphorylation",3,"UniProtKB","Modified residue"
"site","conserved_site","conserved_site","grin3d_annotation_hierarchy_v1:conserved_site",5,"InterPro","conserved_site"
"site","binding_site","small_molecule_binding_site","pdbe_kb_sifts_v1:small_molecule_binding_site",2,"PDBe-KB/SIFTS","experimental ligand contact"
"structural_region","disorder","intrinsically_disordered_region","grin3d_annotation_hierarchy_v1:intrinsically_disordered_region",1,"UniProtKB","Region"
