"protein","uniprot_accession","cluster_id","residue","feature_id","annotation_source","source_record_id","annotation_class","feature_category","feature_subcategory","classification_rule","feature_type","feature_name","relationship","evidence_codes","evidence_ids","source_url"
"TP53","P04637","cluster_0001",91,"UniProtKB:P04637:176b874d","UniProtKB","P04637","interaction","interaction_region","protein_interaction_region","grin3d_annotation_hierarchy_v1:protein_interaction_region","Region","Interaction with CCAR2","interval_overlap","ECO:0000269","25732823","https://www.uniprot.org/uniprotkb/P04637/entry"
"TP53","P04637","cluster_0001",135,"UniProtKB:P04637:176b874d","UniProtKB","P04637","interaction","interaction_region","protein_interaction_region","grin3d_annotation_hierarchy_v1:protein_interaction_region","Region","Interaction with CCAR2","interval_overlap","ECO:0000269","25732823","https://www.uniprot.org/uniprotkb/P04637/entry"
"TP53","P04637","cluster_0001",136,"UniProtKB:P04637:176b874d","UniProtKB","P04637","interaction","interaction_region","protein_interaction_region","grin3d_annotation_hierarchy_v1:protein_interaction_region","Region","Interaction with CCAR2","interval_overlap","ECO:0000269","25732823","https://www.uniprot.org/uniprotkb/P04637/entry"
"TP53","P04637","cluster_0001",159,"UniProtKB:P04637:176b874d","UniProtKB","P04637","interaction","interaction_region","protein_interaction_region","grin3d_annotation_hierarchy_v1:protein_interaction_region","Region","Interaction with CCAR2","interval_overlap","ECO:0000269","25732823","https://www.uniprot.org/uniprotkb/P04637/entry"
"TP53","P04637","cluster_0001",171,"UniProtKB:P04637:176b874d","UniProtKB","P04637","interaction","interaction_region","protein_interaction_region","grin3d_annotation_hierarchy_v1:protein_interaction_region","Region","Interaction with CCAR2","interval_overlap","ECO:0000269","25732823","https://www.uniprot.org/uniprotkb/P04637/entry"
"TP53","P04637","cluster_0001",175,"UniProtKB:P04637:176b874d","UniProtKB","P04637","interaction","interaction_region","protein_interaction_region","grin3d_annotation_hierarchy_v1:protein_interaction_region","Region","Interaction with CCAR2","interval_overlap","ECO:0000269","25732823","https://www.uniprot.org/uniprotkb/P04637/entry"
"TP53","P04637","cluster_0001",197,"UniProtKB:P04637:176b874d","UniProtKB","P04637","interaction","interaction_region","protein_interaction_region","grin3d_annotation_hierarchy_v1:protein_interaction_region","Region","Interaction with CCAR2","interval_overlap","ECO:0000269","25732823","https://www.uniprot.org/uniprotkb/P04637/entry"
"TP53","P04637","cluster_0001",205,"UniProtKB:P04637:176b874d","UniProtKB","P04637","interaction","interaction_region","protein_interaction_region","grin3d_annotation_hierarchy_v1:protein_interaction_region","Region","Interaction with CCAR2","interval_overlap","ECO:0000269","25732823","https://www.uniprot.org/uniprotkb/P04637/entry"
"TP53","P04637","cluster_0001",239,"UniProtKB:P04637:176b874d","UniProtKB","P04637","interaction","interaction_region","protein_interaction_region","grin3d_annotation_hierarchy_v1:protein_interaction_region","Region","Interaction with CCAR2","interval_overlap","ECO:0000269","25732823","https://www.uniprot.org/uniprotkb/P04637/entry"
"TP53","P04637","cluster_0001",244,"UniProtKB:P04637:176b874d","UniProtKB","P04637","interaction","interaction_region","protein_interaction_region","grin3d_annotation_hierarchy_v1:protein_interaction_region","Region","Interaction with CCAR2","interval_overlap","ECO:0000269","25732823","https://www.uniprot.org/uniprotkb/P04637/entry"
