"protein","uniprot_accession","ligand_code","ligand_name","contact_residues","pdb_ids","chembl_id","drugbank_id","cofactor_id","reaction_id","is_solvent","evidence_scope","source_url","retrieved_at_utc"
"TP53","P04637","NAD","NICOTINAMIDE-ADENINE-DINUCLEOTIDE","382","2H4F;2H4H;4BUZ","","","4","",FALSE,"residue_level_experimental_contact","https://www.ebi.ac.uk/pdbe/pdbe-kb/proteins/P04637","2026-09-16T19:29:31Z"
"TP53","P04637","ANP","PHOSPHOAMINOPHOSPHONIC ACID-ADENYLATE ESTER","15","8OXM;8OXO","","","","",FALSE,"residue_level_experimental_contact","https://www.ebi.ac.uk/pdbe/pdbe-kb/proteins/P04637","2026-09-16T19:29:31Z"
"TP53","P04637","X0U","6,7-DIHYDRO[1,4]DIOXINO[2,3-F][1,3]BENZOTHIAZOL-2-AMINE","145;147;150;151;152;155;220;222;223;230","2X0U","","","","",FALSE,"residue_level_experimental_contact","https://www.ebi.ac.uk/pdbe/pdbe-kb/proteins/P04637","2026-09-16T19:29:31Z"
"TP53","P04637","EYE","[9-ethyl-7-(5-methylthiophen-2-yl)carbazol-3-yl]methyl-methyl-azanium","145;146;147;150;151;220;221;222;223;228;229;230","6GGE","","","","",FALSE,"residue_level_experimental_contact","https://www.ebi.ac.uk/pdbe/pdbe-kb/proteins/P04637","2026-09-16T19:29:31Z"
"TP53","P04637","EXN","[9-ethyl-7-(furan-2-yl)carbazol-3-yl]methyl-methyl-azanium","145;146;147;150;151;220;221;222;223;228;229;230","6GGC","","","","",FALSE,"residue_level_experimental_contact","https://www.ebi.ac.uk/pdbe/pdbe-kb/proteins/P04637","2026-09-16T19:29:31Z"
"TP53","P04637","6SM","5-chloranylpyrimidine-4-carboxylic acid","178;182;183","5LAP","","","","",FALSE,"residue_level_experimental_contact","https://www.ebi.ac.uk/pdbe/pdbe-kb/proteins/P04637","2026-09-16T19:29:31Z"
"TP53","P04637","A1IH3","5-iodanyl-2-methylsulfonyl-pyrimidine","120;178;182;183;277","8CG7","","","","",FALSE,"residue_level_experimental_contact","https://www.ebi.ac.uk/pdbe/pdbe-kb/proteins/P04637","2026-09-16T19:29:31Z"
"TP53","P04637","A1IIO","5-chloranylpyrazine-2-carbonitrile","120;151;178;182;220;221;277","9G5H","","","","",FALSE,"residue_level_experimental_contact","https://www.ebi.ac.uk/pdbe/pdbe-kb/proteins/P04637","2026-09-16T19:29:31Z"
"TP53","P04637","YM0","3-azanylpyrazine-2,6-dicarbonitrile","145;150;151;182;220;221;222","8RBC","","","","",FALSE,"residue_level_experimental_contact","https://www.ebi.ac.uk/pdbe/pdbe-kb/proteins/P04637","2026-09-16T19:29:31Z"
"TP53","P04637","A1II1","3,5-bis(chloranyl)-6-ethyl-pyrazine-2-carbonitrile","120;145;147;150;151;178;182;220;221;222;277","9G6U","","","","",FALSE,"residue_level_experimental_contact","https://www.ebi.ac.uk/pdbe/pdbe-kb/proteins/P04637","2026-09-16T19:29:31Z"
