"source","source_record_id","protein","uniprot_accession","api_url","web_url","record_version","annotation_date","retrieved_at_utc","raw_response_file","notes"
"UniProtKB","P52333","JAK3","P52333","https://rest.uniprot.org/uniprotkb/P52333.json","https://www.uniprot.org/uniprotkb/P52333/entry","247","2026-09-02","2026-09-17T05:13:08Z","raw/uniprot_P52333.json","Reviewed UniProtKB feature records; feature-level evidence retained."
"InterPro","P52333","JAK3","P52333","https://www.ebi.ac.uk/interpro/api/entry/interpro/protein/uniprot/P52333/?page_size=200","https://www.ebi.ac.uk/interpro/protein/UniProt/P52333/","","","2026-09-17T05:13:09Z","raw/interpro_matches_P52333.json","Protein-to-InterPro match response."
"InterPro","IPR000299","JAK3","P52333","https://www.ebi.ac.uk/interpro/api/entry/interpro/IPR000299/","https://www.ebi.ac.uk/interpro/entry/InterPro/IPR000299/","","","2026-09-17T05:13:09Z","raw/interpro_entry_IPR000299.json","InterPro match and entry-level literature; literature is not protein-match-specific."
"InterPro","IPR000719","JAK3","P52333","https://www.ebi.ac.uk/interpro/api/entry/interpro/IPR000719/","https://www.ebi.ac.uk/interpro/entry/InterPro/IPR000719/","","","2026-09-17T05:13:09Z","raw/interpro_entry_IPR000719.json","InterPro match and entry-level literature; literature is not protein-match-specific."
"InterPro","IPR000980","JAK3","P52333","https://www.ebi.ac.uk/interpro/api/entry/interpro/IPR000980/","https://www.ebi.ac.uk/interpro/entry/InterPro/IPR000980/","","","2026-09-17T05:13:09Z","raw/interpro_entry_IPR000980.json","InterPro match and entry-level literature; literature is not protein-match-specific."
"InterPro","IPR001245","JAK3","P52333","https://www.ebi.ac.uk/interpro/api/entry/interpro/IPR001245/","https://www.ebi.ac.uk/interpro/entry/InterPro/IPR001245/","","","2026-09-17T05:13:09Z","raw/interpro_entry_IPR001245.json","InterPro match and entry-level literature; literature is not protein-match-specific."
"InterPro","IPR008266","JAK3","P52333","https://www.ebi.ac.uk/interpro/api/entry/interpro/IPR008266/","https://www.ebi.ac.uk/interpro/entry/InterPro/IPR008266/","","","2026-09-17T05:13:09Z","raw/interpro_entry_IPR008266.json","InterPro match and entry-level literature; literature is not protein-match-specific."
"InterPro","IPR011009","JAK3","P52333","https://www.ebi.ac.uk/interpro/api/entry/interpro/IPR011009/","https://www.ebi.ac.uk/interpro/entry/InterPro/IPR011009/","","","2026-09-17T05:13:09Z","raw/interpro_entry_IPR011009.json","InterPro match and entry-level literature; literature is not protein-match-specific."
"InterPro","IPR011993","JAK3","P52333","https://www.ebi.ac.uk/interpro/api/entry/interpro/IPR011993/","https://www.ebi.ac.uk/interpro/entry/InterPro/IPR011993/","","","2026-09-17T05:13:09Z","raw/interpro_entry_IPR011993.json","InterPro match and entry-level literature; literature is not protein-match-specific."
"InterPro","IPR016251","JAK3","P52333","https://www.ebi.ac.uk/interpro/api/entry/interpro/IPR016251/","https://www.ebi.ac.uk/interpro/entry/InterPro/IPR016251/","","","2026-09-17T05:13:09Z","raw/interpro_entry_IPR016251.json","InterPro match and entry-level literature; literature is not protein-match-specific."
"InterPro","IPR017441","JAK3","P52333","https://www.ebi.ac.uk/interpro/api/entry/interpro/IPR017441/","https://www.ebi.ac.uk/interpro/entry/InterPro/IPR017441/","","","2026-09-17T05:13:09Z","raw/interpro_entry_IPR017441.json","InterPro match and entry-level literature; literature is not protein-match-specific."
"InterPro","IPR019749","JAK3","P52333","https://www.ebi.ac.uk/interpro/api/entry/interpro/IPR019749/","https://www.ebi.ac.uk/interpro/entry/InterPro/IPR019749/","","","2026-09-17T05:13:09Z","raw/interpro_entry_IPR019749.json","InterPro match and entry-level literature; literature is not protein-match-specific."
"InterPro","IPR020635","JAK3","P52333","https://www.ebi.ac.uk/interpro/api/entry/interpro/IPR020635/","https://www.ebi.ac.uk/interpro/entry/InterPro/IPR020635/","","","2026-09-17T05:13:09Z","raw/interpro_entry_IPR020635.json","InterPro match and entry-level literature; literature is not protein-match-specific."
