"event_id","subject_id","loc_start","loc_end","span_aa","input_row","mapped_residues","expected_residues","complete_mapping"
"1","PAVWMM",572,572,1,1,1,1,TRUE
"2","PAVWMM",511,511,1,2,1,1,TRUE
"3","PARXBR",511,511,1,3,1,1,TRUE
"4","PARCWP",674,674,1,4,1,1,TRUE
"5","PARFXJ",511,511,1,5,1,1,TRUE
"6","PARHES",573,573,1,6,1,1,TRUE
"7","PARJSM",511,511,1,7,1,1,TRUE
"8","PARNPX",511,511,1,8,1,1,TRUE
"9","PARTLX",657,657,1,9,1,1,TRUE
"10","PARULB",657,657,1,10,1,1,TRUE
"11","PARULB",511,511,1,11,1,1,TRUE
"12","PARWKM",857,857,1,12,1,1,TRUE
"13","PARWKM",511,511,1,13,1,1,TRUE
"14","PARWLB",573,573,1,14,1,1,TRUE
"15","PARXAH",511,511,1,15,1,1,TRUE
"16","PASGFH",511,511,1,16,1,1,TRUE
"17","PASJHT",666,666,1,17,1,1,TRUE
"18","PASNTZ",511,511,1,18,1,1,TRUE
"19","PASSFA",674,674,1,19,1,1,TRUE
"20","PASWFN",657,657,1,20,1,1,TRUE
"21","PATCGT",573,573,1,21,1,1,TRUE
"22","PATCGT",511,511,1,22,1,1,TRUE
"23","PATEUW",573,573,1,23,1,1,TRUE
"24","PATGLD",819,819,1,24,1,1,TRUE
"25","PATGLD",511,511,1,25,1,1,TRUE
"26","PATGXS",511,511,1,26,1,1,TRUE
"27","PATITB",674,674,1,27,1,1,TRUE
"28","PATKHZ",549,549,1,28,1,1,TRUE
"29","PATLHS",678,678,1,29,1,1,TRUE
"30","PATLHS",511,511,1,30,1,1,TRUE
"31","PATMAF",875,875,1,31,1,1,TRUE
"32","PATMRE",674,674,1,32,1,1,TRUE
"33","PATMXN",657,657,1,33,1,1,TRUE
"34","PATNNF",857,857,1,34,1,1,TRUE
"35","PATTHR",674,674,1,35,1,1,TRUE
"36","PATTWG",848,848,1,36,1,1,TRUE
"37","PATTXC",511,511,1,37,1,1,TRUE
"38","PATUZU",657,657,1,38,1,1,TRUE
"39","PATXKY",573,573,1,39,1,1,TRUE
"40","PATXSK",511,511,1,40,1,1,TRUE
"41","PATZWA",657,657,1,41,1,1,TRUE
"42","PATZYC",511,511,1,42,1,1,TRUE
"43","PAUBPY",511,511,1,43,1,1,TRUE
"44","PAUCWP",875,875,1,44,1,1,TRUE
"45","PAUEWR",573,573,1,45,1,1,TRUE
"46","PAUFZC",511,511,1,46,1,1,TRUE
"47","PAUHAF",958,958,1,47,1,1,TRUE
"48","PAUIDF",573,573,1,48,1,1,TRUE
"49","PAULIU",511,511,1,49,1,1,TRUE
"50","PAULZV",875,875,1,50,1,1,TRUE
"51","PAUNVM",511,511,1,51,1,1,TRUE
"52","PAUPIV",906,906,1,52,1,1,TRUE
"53","PAUSNW",613,613,1,53,1,1,TRUE
"54","PAUSNZ",511,511,1,54,1,1,TRUE
"55","PAUUAV",573,573,1,55,1,1,TRUE
"56","PAUUTU",511,511,1,56,1,1,TRUE
"57","PAUVLV",573,573,1,57,1,1,TRUE
"58","PAUVLV",511,511,1,58,1,1,TRUE
"59","PAUWNK",511,511,1,59,1,1,TRUE
"60","PAUXRV",511,511,1,60,1,1,TRUE
"61","PAUXSD",840,840,1,61,1,1,TRUE
"62","PAUYNP",573,573,1,62,1,1,TRUE
"63","PAUYPM",657,657,1,63,1,1,TRUE
"64","PAVAXI",958,958,1,64,1,1,TRUE
"65","PAVBEJ",511,511,1,65,1,1,TRUE
"66","PAVCBR",940,940,1,66,1,1,TRUE
"67","PAVFDX",657,657,1,67,1,1,TRUE
"68","PAVFDX",511,511,1,68,1,1,TRUE
"69","PAVFHW",674,674,1,69,1,1,TRUE
"70","PAVFIC",657,657,1,70,1,1,TRUE
"71","PAVFSN",511,511,1,71,1,1,TRUE
"72","PAVFWD",657,657,1,72,1,1,TRUE
"73","PAVFWF",511,511,1,73,1,1,TRUE
"74","PAVHNX",657,657,1,74,1,1,TRUE
"75","PAVHUL",573,573,1,75,1,1,TRUE
"76","PAVHUT",857,857,1,76,1,1,TRUE
"77","PAVKJM",678,678,1,77,1,1,TRUE
"78","PAVKJM",511,511,1,78,1,1,TRUE
"79","PAVLGT",573,573,1,79,1,1,TRUE
"80","PAVLYI",511,511,1,80,1,1,TRUE
"81","PAVMKN",678,678,1,81,1,1,TRUE
"82","PAVMKN",511,511,1,82,1,1,TRUE
"83","PAVRLJ",511,511,1,83,1,1,TRUE
"84","PAVRYM",573,573,1,84,1,1,TRUE
"85","PAVSEI",511,511,1,85,1,1,TRUE
"86","PAVTXY",511,511,1,86,1,1,TRUE
"87","PAVVVF",586,586,1,87,1,1,TRUE
"88","PAVVVF",511,511,1,88,1,1,TRUE
