"annotation_class","feature_category","feature_subcategory","classification_rule","n_features","sources","source_feature_types"
"domain","domain","homologous_superfamily","grin3d_annotation_hierarchy_v1:homologous_superfamily",2,"InterPro","homologous_superfamily"
"domain","domain","protein_domain","grin3d_annotation_hierarchy_v1:protein_domain",7,"InterPro;UniProtKB","domain;Domain"
"domain","domain","protein_family","grin3d_annotation_hierarchy_v1:protein_family",2,"InterPro","family"
"functional_region","functional_region","compositional_bias","grin3d_annotation_hierarchy_v1:compositional_bias",2,"UniProtKB","Compositional bias"
"functional_region","functional_region","other_functional_region","grin3d_annotation_hierarchy_v1:other_functional_region",1,"InterPro","active_site"
"interaction","interaction_region","protein_interaction_region","grin3d_annotation_hierarchy_v1:protein_interaction_region",1,"UniProtKB","Region"
"interaction","interaction_interface","protein_protein_interface","pdbe_kb_sifts_v1:protein_protein_interface",4,"PDBe-KB/SIFTS","experimental interface"
"modification","ptm","acetylation","grin3d_annotation_hierarchy_v1:acetylation",1,"UniProtKB","Modified residue"
"modification","ptm","phosphorylation","grin3d_annotation_hierarchy_v1:phosphorylation",11,"UniProtKB","Modified residue"
"modification","ptm","ubiquitination","grin3d_annotation_hierarchy_v1:ubiquitination",2,"UniProtKB","Cross-link"
"motif","motif","linear_motif","grin3d_annotation_hierarchy_v1:linear_motif",1,"UniProtKB","Motif"
"site","catalytic_site","catalytic_site","grin3d_annotation_hierarchy_v1:catalytic_site",1,"UniProtKB","Active site"
"site","binding_site","small_molecule_binding_site","pdbe_kb_sifts_v1:small_molecule_binding_site",3,"PDBe-KB/SIFTS","experimental ligand contact"
"structural_region","disorder","intrinsically_disordered_region","grin3d_annotation_hierarchy_v1:intrinsically_disordered_region",1,"UniProtKB","Region"
