"protein","source","alteration_type","cluster_id","hotspot_class","n_subjects","n_events","n_residues","diameter_1d","diameter_3d","p_1d_size","p_3d_size","p_1d_joint","p_3d_joint","p_any_joint","significant_any","exons","significant_1d","significant_3d","p_1d_protein","p_3d_protein","tree_sources","residue_min","residue_max","mean_plddt"
"JAK3","mutation","SNV","SNV_cluster_0001","Sequence-local hotspot also compact in structure",49,49,1,0,0,0.0001999600079984,0.0001999600079984,0.010997800439912,0.010997800439912,0.010997800439912,TRUE,NA,TRUE,TRUE,0.00719856028794241,0.00459908018396321,"1D;3D",511,511,79.6
"JAK3","mutation","SNV","SNV_cluster_0002","Sequence-local hotspot also compact in structure",19,19,1,0,0,0.0001999600079984,0.0001999600079984,0.010997800439912,0.010997800439912,0.010997800439912,TRUE,NA,TRUE,TRUE,0.00719856028794241,0.00459908018396321,"1D;3D",573,573,94.6
"JAK3","mutation","SNV","SNV_cluster_0003","Sequence-local hotspot also compact in structure",19,19,1,0,0,0.0001999600079984,0.0001999600079984,0.010997800439912,0.010997800439912,0.010997800439912,TRUE,NA,TRUE,TRUE,0.00719856028794241,0.00459908018396321,"1D;3D",657,657,93.9
"JAK3","mutation","SNV","SNV_cluster_0004","Sequence-local hotspot also compact in structure",6,6,1,0,0,0.0001999600079984,0.0001999600079984,0.010997800439912,0.010997800439912,0.010997800439912,TRUE,NA,TRUE,TRUE,0.00719856028794241,0.00459908018396321,"1D;3D",674,674,90.8
"JAK3","mutation","SNV","SNV_cluster_0005","Sequence-local hotspot also compact in structure",7,7,1,0,0,0.0001999600079984,0.0001999600079984,0.010997800439912,0.010997800439912,0.010997800439912,TRUE,NA,TRUE,TRUE,0.00719856028794241,0.00459908018396321,"1D;3D",857,857,86.2
"JAK3","mutation","SNV","SNV_cluster_0006","Sequence-local hotspot also compact in structure",20,20,2,1,3.83980989112742,0.0001999600079984,0.0001999600079984,0.010997800439912,0.010997800439912,0.010997800439912,TRUE,NA,TRUE,TRUE,0.00719856028794241,0.00459908018396321,"1D;3D",572,573,93.8
"JAK3","mutation","SNV","SNV_cluster_0007","Sequence-local hotspot also compact in structure",20,20,2,9,4.77970720860599,0.0001999600079984,0.0001999600079984,0.010997800439912,0.010997800439912,0.010997800439912,TRUE,NA,TRUE,TRUE,0.00719856028794241,0.00459908018396321,"1D;3D",657,666,94.8
"JAK3","mutation","SNV","SNV_cluster_0008","Sequence-local hotspot also compact in structure",9,9,2,4,7.3892572021821,0.0001999600079984,0.0001999600079984,0.010997800439912,0.010997800439912,0.010997800439912,TRUE,NA,TRUE,TRUE,0.00719856028794241,0.00459908018396321,"1D;3D",674,678,88.5
"JAK3","mutation","SNV","SNV_cluster_0009","Sequence-local hotspot also compact in structure",65,69,3,62,9.45482157420223,0.0001999600079984,0.0001999600079984,0.010997800439912,0.010997800439912,0.010997800439912,TRUE,NA,TRUE,TRUE,0.00719856028794241,0.00459908018396321,"3D",511,573,89
"JAK3","mutation","SNV","SNV_cluster_0010","Sequence-local hotspot also compact in structure",21,21,3,14,12.1846822281092,0.0001999600079984,0.0001999600079984,0.010997800439912,0.010997800439912,0.010997800439912,TRUE,NA,TRUE,TRUE,0.00719856028794241,0.00459908018396321,"1D",572,586,94.5
"JAK3","mutation","SNV","SNV_cluster_0011","Sequence-local hotspot also compact in structure",71,78,5,167,16.784738335762,0.0001999600079984,0.0001999600079984,0.010997800439912,0.010997800439912,0.010997800439912,TRUE,NA,TRUE,TRUE,0.00719856028794241,0.00459908018396321,"3D",511,678,88.8
"JAK3","mutation","SNV","SNV_cluster_0012","Sequence-local hotspot also compact in structure",22,22,4,37,26.6791552527437,0.0001999600079984,0.0001999600079984,0.010997800439912,0.010997800439912,0.010997800439912,TRUE,NA,TRUE,TRUE,0.00719856028794241,0.00459908018396321,"1D",549,586,93.5
