"protein","source","alteration_type","cluster_id","hotspot_class","n_subjects","n_events","n_residues","diameter_1d","diameter_3d","p_1d_size","p_3d_size","p_1d_joint","p_3d_joint","p_any_joint","significant_any","exons","significant_1d","significant_3d","p_1d_protein","p_3d_protein","tree_sources","residue_min","residue_max","mean_plddt"
"IL7R","mutation","SNV","SNV_cluster_0001","Sequence-local hotspot also compact in structure",12,13,1,0,0,0.0001999600079984,0.0001999600079984,0.00539892021595681,0.00539892021595681,0.00539892021595681,TRUE,NA,TRUE,TRUE,0.0031993601279744,0.0027994401119776,"1D;3D",242,242,79.4
"IL7R","mutation","SNV","SNV_cluster_0002","Sequence-local hotspot also compact in structure",11,11,1,0,0,0.0001999600079984,0.0001999600079984,0.00539892021595681,0.00539892021595681,0.00539892021595681,TRUE,NA,TRUE,TRUE,0.0031993601279744,0.0027994401119776,"1D;3D",243,243,83.6
"IL7R","mutation","SNV","SNV_cluster_0003","Sequence-local hotspot also compact in structure",13,13,2,1,3.85506044051192,0.0001999600079984,0.0001999600079984,0.00539892021595681,0.00539892021595681,0.00539892021595681,TRUE,NA,TRUE,TRUE,0.0031993601279744,0.0027994401119776,"3D",243,244,84.3
"IL7R","mutation","SNV","SNV_cluster_0004","Sequence-local hotspot also compact in structure",20,24,2,1,3.86570187676184,0.0001999600079984,0.0001999600079984,0.00539892021595681,0.00539892021595681,0.00539892021595681,TRUE,NA,TRUE,TRUE,0.0031993601279744,0.0027994401119776,"1D",242,243,81.5
"IL7R","mutation","SNV","SNV_cluster_0005","Sequence-local hotspot also compact in structure",16,16,4,3,5.47162736304292,0.0001999600079984,0.0001999600079984,0.00539892021595681,0.00539892021595681,0.00539892021595681,TRUE,NA,TRUE,TRUE,0.0031993601279744,0.0027994401119776,"3D",243,246,86.5
"IL7R","mutation","SNV","SNV_cluster_0006","Sequence-local hotspot also compact in structure",25,29,5,4,5.93202992237901,0.0001999600079984,0.0001999600079984,0.00539892021595681,0.00539892021595681,0.00539892021595681,TRUE,NA,TRUE,TRUE,0.0031993601279744,0.0027994401119776,"1D;3D",242,246,85.1
"IL7R","mutation","SNV","SNV_cluster_0007","Sequence-local hotspot also compact in structure",30,34,8,12,17.8623271160283,0.0001999600079984,0.0001999600079984,0.00539892021595681,0.00539892021595681,0.00539892021595681,TRUE,NA,TRUE,TRUE,0.0031993601279744,0.0027994401119776,"1D;3D",242,254,88.4
"IL7R","mutation","SNV","SNV_cluster_0008","Linear hotspot without independent 3D enrichment",31,35,9,43,70.7217880147271,0.0001999600079984,0.190361927614477,0.00539892021595681,0.973605278944211,0.00539892021595681,TRUE,NA,TRUE,FALSE,0.0031993601279744,0.928414317136573,"1D",211,254,88.6
"IL7R","mutation","SNV","SNV_cluster_0009","Linear hotspot without independent 3D enrichment",35,41,12,176,98.0304658868864,0.0015996800639872,0.110977804439112,0.0329934013197361,0.867226554689062,0.0329934013197361,TRUE,NA,TRUE,FALSE,0.0151969606078784,0.744251149770046,"1D;3D",78,254,90.1
"IL7R","mutation","SNV","SNV_cluster_0010","Weak clustering evidence",5,5,3,2,5.42946949526379,0.0275944811037792,0.012997400519896,0.397320535892821,0.214757048590282,0.214757048590282,FALSE,NA,FALSE,FALSE,0.241951609678064,0.141771645670866,"1D",244,246,87.5
"IL7R","mutation","SNV","SNV_cluster_0011","Weak clustering evidence",4,4,2,1,3.84977856506059,0.0839832033593281,0.0497900419916017,0.776444711057788,0.591681663667267,0.591681663667267,FALSE,NA,FALSE,FALSE,0.584083183363327,0.433913217356529,"1D;3D",253,254,94.4
"IL7R","mutation","SNV","SNV_cluster_0012","Weak clustering evidence",3,3,1,0,0,0.166966606678664,0.166966606678664,0.958608278344331,0.958608278344331,0.958608278344331,FALSE,NA,FALSE,FALSE,0.872825434913017,0.896820635872825,"1D;3D",254,254,94.1
