"feature_id","protein","uniprot_accession","source","source_record_id","evidence_scope","evidence_code","publication_id_type","publication_id","pubmed_id","doi","title","journal","year","authors","publication_url"
"UniProtKB:P16871:3acaeeb9","IL7R","P16871","UniProtKB","P16871","feature_evidence","ECO:0000255","PROSITE-ProRule","PRU00316","","","","","","",""
"UniProtKB:P16871:247d3c43","IL7R","P16871","UniProtKB","P16871","feature_evidence","ECO:0000269","PubMed","19141282","19141282","10.1016/j.str.2008.10.019","Structural and biophysical studies of the human IL-7/IL-7Ralpha complex.","Structure","2009","McElroy C.A.;Dohm J.A.;Walsh S.T.","https://pubmed.ncbi.nlm.nih.gov/19141282/"
"UniProtKB:P16871:2ea23cb0","IL7R","P16871","UniProtKB","P16871","feature_evidence","ECO:0000269","PubMed","19141282","19141282","10.1016/j.str.2008.10.019","Structural and biophysical studies of the human IL-7/IL-7Ralpha complex.","Structure","2009","McElroy C.A.;Dohm J.A.;Walsh S.T.","https://pubmed.ncbi.nlm.nih.gov/19141282/"
"UniProtKB:P16871:5f4ab06b","IL7R","P16871","UniProtKB","P16871","feature_evidence","ECO:0000269","PubMed","19141282","19141282","10.1016/j.str.2008.10.019","Structural and biophysical studies of the human IL-7/IL-7Ralpha complex.","Structure","2009","McElroy C.A.;Dohm J.A.;Walsh S.T.","https://pubmed.ncbi.nlm.nih.gov/19141282/"
"UniProtKB:P16871:0fa0e98a","IL7R","P16871","UniProtKB","P16871","feature_evidence","ECO:0000269","PubMed","19141282","19141282","10.1016/j.str.2008.10.019","Structural and biophysical studies of the human IL-7/IL-7Ralpha complex.","Structure","2009","McElroy C.A.;Dohm J.A.;Walsh S.T.","https://pubmed.ncbi.nlm.nih.gov/19141282/"
"UniProtKB:P16871:15fd1eb9","IL7R","P16871","UniProtKB","P16871","feature_evidence","ECO:0000269","PubMed","19141282","19141282","10.1016/j.str.2008.10.019","Structural and biophysical studies of the human IL-7/IL-7Ralpha complex.","Structure","2009","McElroy C.A.;Dohm J.A.;Walsh S.T.","https://pubmed.ncbi.nlm.nih.gov/19141282/"
"UniProtKB:P16871:60dbf03c","IL7R","P16871","UniProtKB","P16871","feature_evidence","ECO:0000269","PubMed","19141282","19141282","10.1016/j.str.2008.10.019","Structural and biophysical studies of the human IL-7/IL-7Ralpha complex.","Structure","2009","McElroy C.A.;Dohm J.A.;Walsh S.T.","https://pubmed.ncbi.nlm.nih.gov/19141282/"
"InterPro:IPR003531:1:3f11fc32","IL7R","P16871","InterPro","IPR003531","entry_literature","InterPro_entry_literature","PubMed","1400369","1400369","","The interleukin-4-related lymphokines and their binding to hematopoietin receptors.","J. Biol. Chem.","1992","Boulay JL;Paul WE.","https://pubmed.ncbi.nlm.nih.gov/1400369/"
"InterPro:IPR003531:1:3f11fc32","IL7R","P16871","InterPro","IPR003531","entry_literature","InterPro_entry_literature","PubMed","7946053","7946053","10.1016/0952-7915(94)90152-X","The defective gene in X-linked severe combined immunodeficiency encodes a shared interleukin receptor subunit: implications for cytokine pleiotropy and redundancy.","Curr. Opin. Immunol.","1994","Leonard WJ.","https://pubmed.ncbi.nlm.nih.gov/7946053/"
"InterPro:IPR003531:1:3f11fc32","IL7R","P16871","InterPro","IPR003531","entry_literature","InterPro_entry_literature","PubMed","1913811","1913811","10.1016/0092-8674(91)90564-F","Subunit promiscuity among hemopoietic growth factor receptors.","Cell","1991","Nicola NA;Metcalf D.","https://pubmed.ncbi.nlm.nih.gov/1913811/"
