"protein","cluster_id","candidate_key","tree_sources","hotspot_class","significant_1d","significant_3d","significant_any","n_subjects","n_events","n_residues","residues","p_1d_joint","p_3d_joint","p_any_joint","n_annotation_features","n_annotated_cluster_residues","annotated_cluster_residues","n_unannotated_cluster_residues","unannotated_cluster_residues","annotation_sources","feature_categories","annotation_classes","feature_subcategories","domain_features","motif_features","site_features","ptm_features","interaction_features","disorder_features"
"IL7R","SNV_cluster_0001","","1D;3D","Sequence-local hotspot also compact in structure",TRUE,TRUE,TRUE,12,13,1,"242",0.00539892021595681,0.00539892021595681,0.00539892021595681,2,1,"242",0,"","PDBe-KB/SIFTS;UniProtKB","functional_region;interaction_interface","functional_region;interaction","protein_self_interface;transmembrane_region","","","","","Interface with Interleukin-7 receptor subunit alpha",""
"IL7R","SNV_cluster_0002","","1D;3D","Sequence-local hotspot also compact in structure",TRUE,TRUE,TRUE,11,11,1,"243",0.00539892021595681,0.00539892021595681,0.00539892021595681,1,1,"243",0,"","UniProtKB","functional_region","functional_region","transmembrane_region","","","","","",""
"IL7R","SNV_cluster_0003","","3D","Sequence-local hotspot also compact in structure",TRUE,TRUE,TRUE,13,13,2,"243;244",0.00539892021595681,0.00539892021595681,0.00539892021595681,1,2,"243;244",0,"","UniProtKB","functional_region","functional_region","transmembrane_region","","","","","",""
"IL7R","SNV_cluster_0004","","1D","Sequence-local hotspot also compact in structure",TRUE,TRUE,TRUE,20,24,2,"242;243",0.00539892021595681,0.00539892021595681,0.00539892021595681,2,2,"242;243",0,"","PDBe-KB/SIFTS;UniProtKB","functional_region;interaction_interface","functional_region;interaction","protein_self_interface;transmembrane_region","","","","","Interface with Interleukin-7 receptor subunit alpha",""
"IL7R","SNV_cluster_0005","","3D","Sequence-local hotspot also compact in structure",TRUE,TRUE,TRUE,16,16,4,"243;244;245;246",0.00539892021595681,0.00539892021595681,0.00539892021595681,2,4,"243;244;245;246",0,"","PDBe-KB/SIFTS;UniProtKB","functional_region;interaction_interface","functional_region;interaction","protein_self_interface;transmembrane_region","","","","","Interface with Interleukin-7 receptor subunit alpha",""
"IL7R","SNV_cluster_0006","","1D;3D","Sequence-local hotspot also compact in structure",TRUE,TRUE,TRUE,25,29,5,"242;243;244;245;246",0.00539892021595681,0.00539892021595681,0.00539892021595681,2,5,"242;243;244;245;246",0,"","PDBe-KB/SIFTS;UniProtKB","functional_region;interaction_interface","functional_region;interaction","protein_self_interface;transmembrane_region","","","","","Interface with Interleukin-7 receptor subunit alpha",""
"IL7R","SNV_cluster_0007","","1D;3D","Sequence-local hotspot also compact in structure",TRUE,TRUE,TRUE,30,34,8,"242;243;244;245;246;249;253;254",0.00539892021595681,0.00539892021595681,0.00539892021595681,2,8,"242;243;244;245;246;249;253;254",0,"","PDBe-KB/SIFTS;UniProtKB","functional_region;interaction_interface","functional_region;interaction","protein_self_interface;transmembrane_region","","","","","Interface with Interleukin-7 receptor subunit alpha",""
"IL7R","SNV_cluster_0008","","1D","Linear hotspot without independent 3D enrichment",TRUE,FALSE,TRUE,31,35,9,"211;242;243;244;245;246;249;253;254",0.00539892021595681,0.973605278944211,0.00539892021595681,9,9,"211;242;243;244;245;246;249;253;254",0,"","InterPro;PDBe-KB/SIFTS;UniProtKB","conserved_site;domain;functional_region;interaction_interface","domain;functional_region;interaction;site","conserved_site;homologous_superfamily;macromolecular_interface;protein_domain;protein_self_interface;topological_domain;transmembrane_region","Fibronectin type III;Fibronectin type III superfamily;Fibronectin type-III;Immunoglobulin-like fold","","Short hematopoietin receptor, family 1, conserved site","","Interface with Interleukin-7 receptor subunit alpha;Interface with Other",""
"IL7R","SNV_cluster_0009","","1D;3D","Linear hotspot without independent 3D enrichment",TRUE,FALSE,TRUE,35,41,12,"78;95;115;211;242;243;244;245;246;249;253;254",0.0329934013197361,0.867226554689062,0.0329934013197361,15,12,"78;95;115;211;242;243;244;245;246;249;253;254",0,"","InterPro;PDBe-KB/SIFTS;UniProtKB","conserved_site;domain;functional_region;interaction_interface;ptm","domain;functional_region;interaction;modification;site","conserved_site;disulfide_bond;homologous_superfamily;macromolecular_interface;protein_domain;protein_protein_interface;protein_self_interface;topological_domain;transmembrane_region","Fibronectin type III;Fibronectin type III superfamily;Fibronectin type-III;IL-7Ralpha, fibronectin type III domain;Immunoglobulin-like fold","","Short hematopoietin receptor, family 1, conserved site","Disulfide bond","Interface with Anti-IL-7R 2B8 Fab heavy chain;Interface with Interleukin-7;Interface with Interleukin-7 receptor subunit alpha;Interface with Other;Interface with Thymic stromal lymphopoietin",""
"IL7R","SNV_cluster_0010","","1D","Weak clustering evidence",FALSE,FALSE,FALSE,5,5,3,"244;245;246",0.397320535892821,0.214757048590282,0.214757048590282,2,3,"244;245;246",0,"","PDBe-KB/SIFTS;UniProtKB","functional_region;interaction_interface","functional_region;interaction","protein_self_interface;transmembrane_region","","","","","Interface with Interleukin-7 receptor subunit alpha",""
