"feature_id","protein","uniprot_accession","source","source_record_id","evidence_scope","evidence_code","publication_id_type","publication_id","pubmed_id","doi","title","journal","year","authors","publication_url"
"UniProtKB:P42771:2a2b5cf0","CDKN2A","P42771","UniProtKB","P42771","feature_evidence","ECO:0007744","PubMed","19413330","19413330","10.1021/ac9004309","Lys-N and trypsin cover complementary parts of the phosphoproteome in a refined SCX-based approach.","Anal. Chem.","2009","Gauci S.;Helbig A.O.;Slijper M.;Krijgsveld J.;Heck A.J.;Mohammed S.","https://pubmed.ncbi.nlm.nih.gov/19413330/"
"UniProtKB:P42771:2a2b5cf0","CDKN2A","P42771","UniProtKB","P42771","feature_evidence","ECO:0007744","PubMed","22814378","22814378","10.1073/pnas.1210303109","N-terminal acetylome analyses and functional insights of the N-terminal acetyltransferase NatB.","Proc. Natl. Acad. Sci. U.S.A.","2012","Van Damme P.;Lasa M.;Polevoda B.;Gazquez C.;Elosegui-Artola A.;Kim D.S.;De Juan-Pardo E.;Demeyer K.;Hole K.;Larrea E.;Timmerman E.;Prieto J.;Arnesen T.;Sherman F.;Gevaert K.;Aldabe R.","https://pubmed.ncbi.nlm.nih.gov/22814378/"
"UniProtKB:P42771:16d376a3","CDKN2A","P42771","UniProtKB","P42771","feature_evidence","ECO:0000269","PubMed","12529334","12529334","10.1074/jbc.c200622200","Phosphorylation of p16INK4A correlates with Cdk4 association.","J. Biol. Chem.","2003","Gump J.;Stokoe D.;McCormick F.","https://pubmed.ncbi.nlm.nih.gov/12529334/"
"UniProtKB:P42771:415eae0a","CDKN2A","P42771","UniProtKB","P42771","feature_evidence","ECO:0000269","PubMed","12529334","12529334","10.1074/jbc.c200622200","Phosphorylation of p16INK4A correlates with Cdk4 association.","J. Biol. Chem.","2003","Gump J.;Stokoe D.;McCormick F.","https://pubmed.ncbi.nlm.nih.gov/12529334/"
"UniProtKB:P42771:3dbc0477","CDKN2A","P42771","UniProtKB","P42771","feature_evidence","ECO:0000269","PubMed","12529334","12529334","10.1074/jbc.c200622200","Phosphorylation of p16INK4A correlates with Cdk4 association.","J. Biol. Chem.","2003","Gump J.;Stokoe D.;McCormick F.","https://pubmed.ncbi.nlm.nih.gov/12529334/"
"UniProtKB:P42771:6290f216","CDKN2A","P42771","UniProtKB","P42771","feature_evidence","ECO:0000269","PubMed","12529334","12529334","10.1074/jbc.c200622200","Phosphorylation of p16INK4A correlates with Cdk4 association.","J. Biol. Chem.","2003","Gump J.;Stokoe D.;McCormick F.","https://pubmed.ncbi.nlm.nih.gov/12529334/"
"InterPro:IPR036770:1:623478ce","CDKN2A","P42771","InterPro","IPR036770","entry_literature","InterPro_entry_literature","PubMed","8108379","8108379","10.1002/prot.340170405","Hundreds of ankyrin-like repeats in functionally diverse proteins: mobile modules that cross phyla horizontally?","Proteins","1993","Bork P.","https://pubmed.ncbi.nlm.nih.gov/8108379/"
"InterPro:IPR036770:1:623478ce","CDKN2A","P42771","InterPro","IPR036770","entry_literature","InterPro_entry_literature","PubMed","9353127","9353127","10.1038/40202","Structure of the cyclin-dependent kinase inhibitor p19Ink4d.","Nature","1997","Luh FY;Archer SJ;Domaille PJ;Smith BO;Owen D;Brotherton DH;Raine AR;Xu X;Brizuela L;Brenner SL;Laue ED.","https://pubmed.ncbi.nlm.nih.gov/9353127/"
"InterPro:IPR036770:1:623478ce","CDKN2A","P42771","InterPro","IPR036770","entry_literature","InterPro_entry_literature","PubMed","12461176","12461176","10.1073/pnas.252537899","Consensus-derived structural determinants of the ankyrin repeat motif.","Proc. Natl. Acad. Sci. U.S.A.","2002","Mosavi LK;Minor DL Jr;Peng ZY.","https://pubmed.ncbi.nlm.nih.gov/12461176/"
"InterPro:IPR036770:1:623478ce","CDKN2A","P42771","InterPro","IPR036770","entry_literature","InterPro_entry_literature","PubMed","9461436","9461436","10.1126/science.279.5353.1037","The structure of GABPalpha/beta: an ETS domain- ankyrin repeat heterodimer bound to DNA.","Science","1998","Batchelor AH;Piper DE;de la Brousse FC;McKnight SL;Wolberger C.","https://pubmed.ncbi.nlm.nih.gov/9461436/"
"InterPro:IPR036770:1:623478ce","CDKN2A","P42771","InterPro","IPR036770","entry_literature","InterPro_entry_literature","PubMed","9865693","9865693","10.1016/S0092-8674(00)81698-0","Structure of an IkappaBalpha/NF-kappaB complex.","Cell","1998","Jacobs MD;Harrison SC.","https://pubmed.ncbi.nlm.nih.gov/9865693/"
"InterPro:IPR036770:1:623478ce","CDKN2A","P42771","InterPro","IPR036770","entry_literature","InterPro_entry_literature","PubMed","8875926","8875926","10.1126/science.274.5289.1001","Structure of the p53 tumor suppressor bound to the ankyrin and SH3 domains of 53BP2.","Science","1996","Gorina S;Pavletich NP.","https://pubmed.ncbi.nlm.nih.gov/8875926/"
